T,d2G_HCP_A3_ZN_Eut
547,58807.2868818088
548,58582.1659061564
549,58362.8193439581
550,58149.2734232665
551,57941.5583286930
552,57739.7084502245
553,57543.7626569233
554,57353.7645983683
555,57169.7630370907
556,56991.8122156817
557,56819.9722627789
558,56654.3096426970
559,56494.8976541428
560,56341.8169842135
561,56195.1563247587
562,56055.0130591616
563,55921.4940287546
564,55794.7163893418
565,55674.8085697606
566,55561.9113459729
567,55456.1790459507
568,55357.7809024803
569,55266.9025728477
570,55183.7478463182
571,55108.5405617966
572,55041.5267591401
573,54982.9770875232
574,54933.1894924049
575,54892.4921979410
576,54861.2469923085
577,54839.8528074291
578,54828.7495584238
579,54828.4221680127
580,54839.4046419231
581,54862.2839777569
582,54897.7035778367
583,54946.3656962727
584,55009.0322914339
585,55086.5235043555
586,55179.7128929994
587,55289.5186025736
588,55416.8899400147
589,55562.7894192534
590,55728.1712354888
591,55913.9581362564
592,56121.0194505402
593,56350.1532421455
594,56602.0749709536
595,56877.4138121121
596,57176.7163321808
597,57500.4560471868
598,57849.0467929306
599,58222.8578353148
600,58622.2290464697
601,59047.4850262079
602,59498.9475726638
603,59976.9463072635
604,60481.8275196711
605,61013.9614396242
606,61573.7481997401
607,62161.6227590225
608,62778.0590348405
609,63423.5734581614
610,64098.7281314936
611,64804.1337363317
612,65540.4523092956
613,66308.3999832424
614,67108.7497720619
615,67942.3344643772
616,68810.0496814955
617,69712.8571480562
618,70651.7882193784
619,71627.9477069717
620,72642.5180426914
621,73696.7638225404
622,74792.0367726602
623,75929.7811828505
624,77111.5398563332
625,78338.9606294226
626,79613.8035201918
627,80937.9485718163
628,82313.4044642148
629,83742.3179764127
630,85226.9843926958
631,86769.8589573810
632,88373.5694970921
633,90040.9303453002
634,91774.9577223233
635,93578.8867454227
636,95456.1902682731
637,97410.5997779257
638,99446.1286107937
639,101567.097788446
640,103778.164819438
641,106084.355867635
642,108491.101750358
643,111004.278304506
644,113630.251747661
645,116375.929765978
646,119248.819186529
647,122257.091241991
648,125409.655616019
649,128716.244675516
650,132187.509559450
651,135835.130114747
652,139671.941060813
653,143712.077245169
654,147971.141443866
