Temp,"HSN(Al,Al)@fcc2","HSN(Mo,Mo)@fcc2","HSN(Al,Mo)@fcc2"
800,391403,1.9873e+06,176132
810,376377,1.99978e+06,162106
820,362394,2.01368e+06,149139
830,349351,2.02889e+06,137127
840,337162,2.04535e+06,125982
850,325745,2.06298e+06,115621
860,315031,2.08174e+06,105971
870,304955,2.10156e+06,96968.2
880,295461,2.12243e+06,88551.9
890,286496,2.14429e+06,80668.9
900,278016,2.16714e+06,73270.4
910,269978,2.19096e+06,66312.1
920,262345,2.21572e+06,59753.5
930,255083,2.24142e+06,53557.4
940,248161,2.26805e+06,47689.8
950,241551,2.29559e+06,42119.3
960,235229,2.32403e+06,36816.9
970,229173,2.35333e+06,31755.7
980,223361,2.38346e+06,26911
990,217776,2.41436e+06,22260
1000,212402,2.44592e+06,17781.6
1010,207225,2.47801e+06,13456.6
1020,202234,2.51044e+06,9267.62
1030,197420,2.54293e+06,5199.37
1040,192775,2.57512e+06,1238.57
1050,188295,2.60652e+06,-2625.24
1060,183980,2.63651e+06,-6399.91
1070,179832,2.66432e+06,-10089.9
1080,175855,2.68906e+06,-13696.1
1090,172058,2.70983e+06,-17215.6
1100,168453,2.72583e+06,-20642.1
1110,165051,2.73669e+06,-23967.3
1120,161864,2.74277e+06,-27183
1130,158898,2.74531e+06,-30283.4
1140,156156,2.74648e+06,-33267.1
1150,153635,2.74911e+06,-36137.9
1160,151328,2.75635e+06,-38904.4
1170,149222,2.77132e+06,-41578.1
1180,147306,2.79709e+06,-44172.4
1190,145566,2.83658e+06,-46700.8
1200,143989,2.89271e+06,-49176
