Temp,Ni@liq,Al@liq,Mo@liq,Ni@fcc,Al@fcc,Mo@fcc
1655,0.799589,0.100057, 0.100353, 0.845985, 0.0935673,0.0604478
1654,0.798362,0.100223, 0.101415, 0.845292, 0.0938322,0.0608755
1653,0.797143,0.100379, 0.102478, 0.844608, 0.0940882,0.0613035
1652,0.795933,0.100524, 0.103543, 0.843933, 0.0943356,0.0617318
1651,0.79473, 0.100661, 0.104609, 0.843265,  0.0945745,0.0621604
1650,0.793536,0.100788, 0.105676, 0.842605, 0.0948053,0.0625893
1649,0.79235, 0.100907, 0.106743, 0.841954,  0.0950282,0.0630183
1648,0.791171,0.101017, 0.107812, 0.841309, 0.0952434,0.0634475
1647,0.79,    0.101118, 0.108882, 0.840672, 0.0954511,0.0638768
1646,0.788836,0.101212, 0.109952, 0.840042, 0.0956517,0.0643062
1645,0.787679,0.101299, 0.111022, 0.839419, 0.0958453,0.0647357
1644,0.786529,0.101378, 0.112093, 0.838803, 0.0960321,0.0651653
1643,0.785386,0.101449, 0.113165, 0.838193, 0.0962123,0.0655948
1642,0.784249,0.101514, 0.114236, 0.837589, 0.0963861,0.0660244
1641,0.783119,0.101573, 0.115308, 0.836992, 0.0965538,0.0664539
1640,0.781996,0.101625, 0.11638,  0.836401,  0.0967154,0.0668834
1639,0.780878,0.10167,  0.117451, 0.835816,  0.0968712,0.0673128
1638,0.779767,0.10171,  0.118523, 0.835237,  0.0970214,0.067742
1637,0.778661,0.101745, 0.119594, 0.834663, 0.0971662,0.0681712
1636,0.777562,0.101773, 0.120665, 0.834094, 0.0973056,0.0686001
1635,0.776468,0.101797, 0.121735, 0.833531, 0.0974398,0.0690289
1634,0.77538, 0.101815, 0.122805, 0.832973,  0.0975691,0.0694575
1633,0.774297,0.101829, 0.123875, 0.832421, 0.0976935,0.0698859
1632,0.773219,0.101837, 0.124943, 0.831873, 0.0978133,0.070314
1631,0.772147,0.101842, 0.126011, 0.83133,  0.0979284,0.0707419
