T	P	log10(P)	phase_name	x(Al)	x(Mo)	x(Ni)	Cp	H(@Fcc)	H(@Liquid)	H(@Liquid)-H(@Fcc)	
K	bar	SI		%	%	%	J/(mole K)				
1560	1	5	Liquid+Fcc	10	10	80	36.13595625	27313.72678	40889.75195	13576.02517	
1561	1	5	Liquid+Fcc	10	10	80	36.15086869	27334.90348	40916.99294	13582.08946	
1562	1	5	Liquid+Fcc	10	10	80	36.16592021	27356.10063	40944.24917	13588.14854	
1563	1	5	Liquid+Fcc	10	10	80	36.18115212	27377.32038	40971.52305	13594.20267	
1564	1	5	Liquid+Fcc	10	10	80	36.19653725	27398.56495	40998.81709	13600.25214	
1565	1	5	Liquid+Fcc	10	10	80	36.2120797	27419.83667	41026.1339	13606.29723	
1566	1	5	Liquid+Fcc	10	10	80	36.22776609	27441.13793	41053.4762	13612.33827	
1567	1	5	Liquid+Fcc	10	10	80	36.24361696	27462.4712	41080.84681	13618.37561	
1568	1	5	Liquid+Fcc	10	10	80	36.25962757	27483.83906	41108.24868	13624.40962	
1569	1	5	Liquid+Fcc	10	10	80	36.27585578	27505.24417	41135.68486	13630.44069	
1570	1	5	Liquid+Fcc	10	10	80	36.29222607	27526.68927	41163.15853	13636.46926	
1571	1	5	Liquid+Fcc	10	10	80	36.30884278	27548.17721	41190.673	13642.49579	
1572	1	5	Liquid+Fcc	10	10	80	36.32557998	27569.71096	41218.2317	13648.52074	
1573	1	5	Liquid+Fcc	10	10	80	36.34252717	27591.29358	41245.83821	13654.54463	
1574	1	5	Liquid+Fcc	10	10	80	36.35967642	27612.92821	41273.49623	13660.56802	
1575	1	5	Liquid+Fcc	10	10	80	36.3770379	27634.61812	41301.20963	13666.59151	
1576	1	5	Liquid+Fcc	10	10	80	36.39459621	27656.36672	41328.9824	13672.61568	
1577	1	5	Liquid+Fcc	10	10	80	36.41237272	27678.1775	41356.8187	13678.6412	
1578	1	5	Liquid+Fcc	10	10	80	36.43038246	27700.05407	41384.72285	13684.66878	
1579	1	5	Liquid+Fcc	10	10	80	36.44860118	27722.0002	41412.69934	13690.69914	
1580	1	5	Liquid+Fcc	10	10	80	36.46707224	27744.01977	41440.75282	13696.73305	
1581	1	5	Liquid+Fcc	10	10	80	36.48576889	27766.11677	41468.88811	13702.77134	
1582	1	5	Liquid+Fcc	10	10	80	36.50470279	27788.29536	41497.11022	13708.81486	
1583	1	5	Liquid+Fcc	10	10	80	36.5238992	27810.55982	41525.42434	13714.86452	
1584	1	5	Liquid+Fcc	10	10	80	36.54336836	27832.91458	41553.83588	13720.9213	
1585	1	5	Liquid+Fcc	10	10	80	36.56307605	27855.36424	41582.35041	13726.98617	
1586	1	5	Liquid+Fcc	10	10	80	36.58304532	27877.91352	41610.97373	13733.06021	
1587	1	5	Liquid+Fcc	10	10	80	36.6033528	27900.56733	41639.71186	13739.14453	
1588	1	5	Liquid+Fcc	10	10	80	36.62390935	27923.33073	41668.57102	13745.24029	
1589	1	5	Liquid+Fcc	10	10	80	36.64472529	27946.20894	41697.55765	13751.34871	
1590	1	5	Liquid+Fcc	10	10	80	36.66589028	27969.20736	41726.67854	13757.47118	
1591	1	5	Liquid+Fcc	10	10	80	36.68734927	27992.3316	41755.94045	13763.60885	
1592	1	5	Liquid+Fcc	10	10	80	36.70911743	28015.58741	41785.35062	13769.76321	
1593	1	5	Liquid+Fcc	10	10	80	36.73126406	28038.98078	41814.9165	13775.93572	
1594	1	5	Liquid+Fcc	10	10	80	36.75372422	28062.51783	41844.64578	13782.12795	
1595	1	5	Liquid+Fcc	10	10	80	36.77653222	28086.20496	41874.54643	13788.34147	
1596	1	5	Liquid+Fcc	10	10	80	36.79967045	28110.04872	41904.62669	13794.57797	
1597	1	5	Liquid+Fcc	10	10	80	36.823205	28134.05591	41934.8951	13800.83919	
1598	1	5	Liquid+Fcc	10	10	80	36.84712906	28158.23353	41965.36049	13807.12696	
1599	1	5	Liquid+Fcc	10	10	80	36.87144114	28182.58882	41996.032	13813.44318	
1600	1	5	Liquid+Fcc	10	10	80	36.89613523	28207.12927	42026.91909	13819.78982	
1601	1	5	Liquid+Fcc	10	10	80	36.92126483	28231.86258	42058.03153	13826.16895	
1602	1	5	Liquid+Fcc	10	10	80	36.94681992	28256.79674	42089.37943	13832.58269	
1603	1	5	Liquid+Fcc	10	10	80	36.9727965	28281.93997	42120.97326	13839.03329	
1604	1	5	Liquid+Fcc	10	10	80	36.99925205	28307.30078	42152.82382	13845.52304	
1605	1	5	Liquid+Fcc	10	10	80	37.02618198	28332.88792	42184.94228	13852.05436	
1606	1	5	Liquid+Fcc	10	10	80	37.05355764	28358.71046	42217.34019	13858.62973	
1607	1	5	Liquid+Fcc	10	10	80	37.0814575	28384.77775	42250.0295	13865.25175	
1608	1	5	Liquid+Fcc	10	10	80	37.10987899	28411.09941	42283.0225	13871.92309	
1609	1	5	Liquid+Fcc	10	10	80	37.13879405	28437.68544	42316.33198	13878.64654	
1610	1	5	Liquid+Fcc	10	10	80	37.16824666	28464.54611	42349.97106	13885.42495	
1611	1	5	Liquid+Fcc	10	10	80	37.19831493	28491.69201	42383.95334	13892.26133	
1612	1	5	Liquid+Fcc	10	10	80	37.22892791	28519.13409	42418.29284	13899.15875	
1613	1	5	Liquid+Fcc	10	10	80	37.26013273	28546.88368	42453.00406	13906.12038	
1614	1	5	Liquid+Fcc	10	10	80	37.29199976	28574.95242	42488.10195	13913.14953	
1615	1	5	Liquid+Fcc	10	10	80	37.32444422	28603.35235	42523.60193	13920.24958	
1616	1	5	Liquid+Fcc	10	10	80	37.35759145	28632.09589	42559.51995	13927.42406	
1617	1	5	Liquid+Fcc	10	10	80	37.39135929	28661.19587	42595.87244	13934.67657	
1618	1	5	Liquid+Fcc	10	10	80	37.42590478	28690.6655	42632.67637	13942.01087	
1619	1	5	Liquid+Fcc	10	10	80	37.46112994	28720.51845	42669.94922	13949.43077	
1620	1	5	Liquid+Fcc	10	10	80	37.49710462	28750.76881	42707.70906	13956.94025	
1621	1	5	Liquid+Fcc	10	10	80	37.53387041	28781.4311	42745.9745	13964.5434	
1622	1	5	Liquid+Fcc	10	10	80	37.57142546	28812.52035	42784.76473	13972.24438	
1623	1	5	Liquid+Fcc	10	10	80	37.60982721	28844.05203	42824.09957	13980.04754	
1624	1	5	Liquid+Fcc	10	10	80	37.64907693	28876.04213	42863.99942	13987.95729	
1625	1	5	Liquid+Fcc	10	10	80	37.68920273	28908.50716	42904.48535	13995.97819	
1626	1	5	Liquid+Fcc	10	10	80	37.73026465	28941.46414	42945.57904	14004.1149	
1627	1	5	Liquid+Fcc	10	10	80	37.77223157	28974.93065	42987.30289	14012.37224	
1628	1	5	Liquid+Fcc	10	10	80	37.81522492	29008.92481	43029.67992	14020.75511	
1629	1	5	Liquid+Fcc	10	10	80	37.85920065	29043.46537	43072.73392	14029.26855	
1630	1	5	Liquid+Fcc	10	10	80	37.90424543	29078.57168	43116.48939	14037.91771	
1631	1	5	Liquid+Fcc	10	10	80	37.95041891	29114.2637	43160.97158	14046.70788	
1632	1	5	Liquid+Fcc	10	10	80	37.99765223	29150.56204	43206.2065	14055.64446	
1633	1	5	Liquid+Fcc	10	10	80	38.04609768	29187.488	43252.22097	14064.73297	
1634	1	5	Liquid+Fcc	10	10	80	38.09577199	29225.06355	43299.04261	14073.97906	
1635	1	5	Liquid+Fcc	10	10	80	38.14669424	29263.31142	43346.6999	14083.38848	
1636	1	5	Liquid+Fcc	10	10	80	38.19891504	29302.25507	43395.22219	14092.96712	
1637	1	5	Liquid+Fcc	10	10	80	38.25249226	29341.91874	43444.6397	14102.72096	
1638	1	5	Liquid+Fcc	10	10	80	38.30746926	29382.32747	43494.9836	14112.65613	
1639	1	5	Liquid+Fcc	10	10	80	38.36390152	29423.50717	43546.28602	14122.77885	
1640	1	5	Liquid+Fcc	10	10	80	38.42188995	29465.48456	43598.58001	14133.09545	
1641	1	5	Liquid+Fcc	10	10	80	38.48143457	29508.28733	43651.89971	14143.61238	
1642	1	5	Liquid+Fcc	10	10	80	38.54259544	29551.94407	43706.28026	14154.33619	
1643	1	5	Liquid+Fcc	10	10	80	38.60550141	29596.48438	43761.75791	14165.27353	
1644	1	5	Liquid+Fcc	10	10	80	38.67013406	29641.93883	43818.37	14176.43117	
1645	1	5	Liquid+Fcc	10	10	80	38.73662997	29688.33908	43876.15504	14187.81596	
1646	1	5	Liquid+Fcc	10	10	80	38.8050386	29735.71792	43935.15276	14199.43484	
1647	1	5	Liquid+Fcc	10	10	80	38.87545098	29784.10922	43995.40409	14211.29487	
1648	1	5	Liquid+Fcc	10	10	80	38.94794481	29833.54812	44056.95127	14223.40315	
1649	1	5	Liquid+Fcc	10	10	80	39.02257346	29884.07099	44119.83789	14235.7669	
1650	1	5	Liquid+Fcc	10	10	80	39.09944605	29935.71546	44184.10886	14248.3934	
1651	1	5	Liquid+Fcc	10	10	80	39.17869708	29988.52059	44249.8106	14261.29001	
1652	1	5	Liquid+Fcc	10	10	80	39.26039695	30042.52685	44316.99099	14274.46414	
1653	1	5	Liquid+Fcc	10	10	80	39.34465908	30097.77617	44385.69945	14287.92328	
1654	1	5	Liquid+Fcc	10	10	80	39.43160325	30154.31261	44455.98757	14301.67496	
1655	1	5	Liquid+Fcc	10	10	80	39.5212626	30212.17982	44527.90652	14315.7267	
