Temp,Si@Fcc,Co@Fcc,Ti@Fcc,Cr@Fcc,Mn@Fcc,Fe@Fcc,Al@Fcc,Nb@Fcc,Mo@Fcc,Si@Liquid,Co@Liquid,Ti@Liquid,Cr@Liquid,Mn@Liquid,Fe@Liquid,Al@Liquid,Nb@Liquid,Mo@Liquid
1535,0.00718118,0.00983634,0.0108099,0.211863,0.0036842,0.173228,0.0107177,0.0322326,0.0187265,0.0154533,0.00694292,0.0288064,0.140514,0.00478228,0.150559,0.0136103,0.0748566,0.0142622
1536,0.00714174,0.00985038,0.0107231,0.212208,0.00367876,0.173338,0.0107031,0.0320257,0.0187482,0.0153037,0.00696784,0.0285944,0.141203,0.00478512,0.150805,0.0136453,0.0744916,0.0142886
1537,0.00710287,0.00986448,0.0106364,0.212555,0.00367317,0.173448,0.0106878,0.0318179,0.0187702,0.015156,0.00699288,0.028383,0.141895,0.00478775,0.15105,0.0136792,0.074124,0.0143152
1538,0.00706459,0.00987865,0.0105499,0.212902,0.00366744,0.173557,0.0106719,0.0316091,0.0187924,0.0150101,0.00701804,0.0281723,0.142589,0.00479016,0.151294,0.013712,0.0737539,0.0143422
1539,0.00702687,0.00989288,0.0104636,0.21325,0.00366155,0.173667,0.0106554,0.0313994,0.0188149,0.014866,0.00704333,0.0279622,0.143285,0.00479236,0.151536,0.0137436,0.0733813,0.0143694
1540,0.00698972,0.00990718,0.0103774,0.213598,0.00365552,0.173776,0.0106382,0.0311889,0.0188375,0.0147237,0.00706874,0.0277528,0.143983,0.00479434,0.151778,0.0137741,0.0730062,0.014397
1541,0.00695313,0.00992153,0.0102914,0.213948,0.00364934,0.173886,0.0106203,0.0309775,0.0188604,0.0145833,0.00709428,0.0275441,0.144683,0.00479609,0.152019,0.0138034,0.0726287,0.0144248
1542,0.00691709,0.00993594,0.0102056,0.214298,0.003643,0.173996,0.0106017,0.0307652,0.0188835,0.0144446,0.00711995,0.027336,0.145385,0.00479762,0.152259,0.0138315,0.0722487,0.014453
1543,0.00688161,0.00995041,0.0101199,0.214648,0.00363651,0.174106,0.0105824,0.0305522,0.0189068,0.0143077,0.00714574,0.0271286,0.146089,0.00479893,0.152499,0.0138584,0.0718664,0.0144814
1544,0.00684668,0.00996493,0.0100345,0.215,0.00362986,0.174215,0.0105625,0.0303384,0.0189304,0.0141725,0.00717166,0.0269218,0.146795,0.00480001,0.152737,0.0138841,0.0714817,0.0145102
1545,0.00681228,0.00997951,0.00994923,0.215351,0.00362306,0.174325,0.0105419,0.0301239,0.0189542,0.0140391,0.00719771,0.0267156,0.147503,0.00480085,0.152974,0.0139086,0.0710946,0.0145393
1546,0.00677842,0.00999414,0.00986416,0.215704,0.00361611,0.174435,0.0105206,0.0299086,0.0189782,0.0139074,0.00722389,0.0265101,0.148213,0.00480146,0.153211,0.0139318,0.0707053,0.0145687
1547,0.0067451,0.0100088,0.00977929,0.216056,0.00360899,0.174545,0.0104987,0.0296927,0.0190024,0.0137774,0.0072502,0.0263051,0.148925,0.00480184,0.153447,0.0139538,0.0703137,0.0145984
1548,0.00671229,0.0100236,0.00969462,0.216409,0.00360172,0.174655,0.010476,0.0294761,0.0190269,0.0136492,0.00727664,0.0261007,0.149639,0.00480198,0.153682,0.0139745,0.0699198,0.0146285
1549,0.00668001,0.0100383,0.00961016,0.216762,0.00359428,0.174766,0.0104527,0.0292589,0.0190516,0.0135226,0.00730321,0.0258969,0.150355,0.00480188,0.153916,0.0139939,0.0695237,0.0146589
1550,0.00664824,0.0100532,0.00952591,0.217116,0.00358668,0.174876,0.0104286,0.0290411,0.0190765,0.0133976,0.00732992,0.0256938,0.151073,0.00480154,0.15415,0.0140121,0.0691255,0.0146896
1551,0.00661698,0.010068,0.00944187,0.21747,0.00357893,0.174986,0.0104039,0.0288226,0.0191017,0.0132743,0.00735676,0.0254911,0.151793,0.00480095,0.154383,0.0140289,0.068725,0.0147206
1552,0.00658622,0.010083,0.00935806,0.217824,0.003571,0.175097,0.0103785,0.0286037,0.0191271,0.0131527,0.00738373,0.0252891,0.152515,0.00480012,0.154615,0.0140445,0.0683225,0.014752
1553,0.00655595,0.0100979,0.00927446,0.218178,0.00356292,0.175207,0.0103524,0.0283842,0.0191527,0.0130327,0.00741083,0.0250876,0.153239,0.00479904,0.154847,0.0140587,0.0679178,0.0147837
1554,0.00652617,0.0101129,0.0091911,0.218533,0.00355466,0.175318,0.0103256,0.0281642,0.0191786,0.0129142,0.00743807,0.0248866,0.153965,0.0047977,0.155078,0.0140716,0.0675111,0.0148158
1555,0.00649688,0.010128,0.00910797,0.218887,0.00354624,0.175429,0.0102981,0.0279438,0.0192047,0.0127973,0.00746544,0.0246863,0.154693,0.00479611,0.155309,0.0140832,0.0671023,0.0148482
1556,0.00646807,0.010143,0.00902507,0.219241,0.00353766,0.17554,0.01027,0.0277229,0.019231,0.012682,0.00749295,0.0244864,0.155423,0.00479426,0.155539,0.0140934,0.0666915,0.014881
1557,0.00643972,0.0101581,0.00894241,0.219596,0.0035289,0.17565,0.0102411,0.0275016,0.0192576,0.0125683,0.00752059,0.0242871,0.156154,0.00479215,0.155769,0.0141023,0.0662787,0.0149141
1558,0.00641184,0.0101733,0.00886,0.21995,0.00351997,0.175762,0.0102116,0.0272799,0.0192844,0.012456,0.00754837,0.0240883,0.156888,0.00478978,0.155998,0.0141097,0.0658639,0.0149476
1559,0.00638441,0.0101885,0.00877783,0.220304,0.00351087,0.175873,0.0101813,0.0270579,0.0193114,0.0123453,0.00757628,0.02389,0.157624,0.00478715,0.156227,0.0141159,0.0654472,0.0149815
1560,0.00635744,0.0102037,0.00869592,0.220658,0.00350159,0.175984,0.0101504,0.0268355,0.0193387,0.012236,0.00760433,0.0236923,0.158361,0.00478424,0.156456,0.0141206,0.0650286,0.0150157
1561,0.00633091,0.0102189,0.00861426,0.221012,0.00349215,0.176096,0.0101188,0.0266128,0.0193663,0.0121282,0.00763251,0.023495,0.1591,0.00478106,0.156684,0.0141239,0.0646081,0.0150503
1562,0.00630482,0.0102342,0.00853286,0.221365,0.00348252,0.176207,0.0100865,0.0263898,0.0193941,0.0120219,0.00766083,0.0232983,0.159841,0.00477761,0.156911,0.0141259,0.0641858,0.0150853
