Temp,"HSN[Si,Si]@Fcc","HSN[Co,Co]@Fcc","HSN[Ti,Ti]@Fcc","HSN[Cr,Cr]@Fcc","HSN[Mn,Mn]@Fcc","HSN[Fe,Fe]@Fcc","HSN[Al,Al]@Fcc","HSN[Nb,Nb]@Fcc","HSN[Mo,Mo]@Fcc","HSN[Si,Co]@Fcc","HSN[Si,Ti]@Fcc","HSN[Si,Cr]@Fcc","HSN[Si,Mn]@Fcc","HSN[Si,Fe]@Fcc","HSN[Si,Al]@Fcc","HSN[Si,Nb]@Fcc","HSN[Si,Mo]@Fcc","HSN[Co,Ti]@Fcc","HSN[Co,Cr]@Fcc","HSN[Co,Mn]@Fcc","HSN[Co,Fe]@Fcc","HSN[Co,Al]@Fcc","HSN[Co,Nb]@Fcc","HSN[Co,Mo]@Fcc","HSN[Ti,Cr]@Fcc","HSN[Ti,Mn]@Fcc","HSN[Ti,Fe]@Fcc","HSN[Ti,Al]@Fcc","HSN[Ti,Nb]@Fcc","HSN[Ti,Mo]@Fcc","HSN[Cr,Mn]@Fcc","HSN[Cr,Fe]@Fcc","HSN[Cr,Al]@Fcc","HSN[Cr,Nb]@Fcc","HSN[Cr,Mo]@Fcc","HSN[Mn,Fe]@Fcc","HSN[Mn,Al]@Fcc","HSN[Mn,Nb]@Fcc","HSN[Mn,Mo]@Fcc","HSN[Fe,Al]@Fcc","HSN[Fe,Nb]@Fcc","HSN[Fe,Mo]@Fcc","HSN[Al,Nb]@Fcc","HSN[Al,Mo]@Fcc","HSN[Nb,Mo]@Fcc"
1535,2.43914e+06,1.32349e+06,1.56032e+06,113923,3.53977e+06,108686,1.46997e+06,764899,688434,40997.6,419874,161101,207282,148312,386311,379345,267350,56192.7,8602.01,27229.9,23471.9,54815.3,119042,8518.1,210905,200515,134607,243706,289566,181550,67480.7,40970.3,148756,164930,28675.9,53023.2,150934,189964,37490.6,115166,115283,54241.1,220763,164328,152693
1536,2.45012e+06,1.32256e+06,1.57067e+06,113919,3.54719e+06,108725,1.47235e+06,767717,688119,41072.7,419882,161116,207299,148331,386303,379363,267372,56223,8663.8,27278.9,23506,54839.6,119083,8585.85,210955,200571,134632,243760,289603,181594,67554.9,41003.4,148804,164976,28740.8,53053,150977,190003,37540.6,115196,115289,54277.3,220796,164328,152740
1537,2.46107e+06,1.32161e+06,1.58117e+06,113916,3.55477e+06,108763,1.4748e+06,770584,687798,41147.8,419890,161131,207315,148350,386296,379382,267395,56253.2,8725.77,27327.9,23540.2,54863.9,119125,8653.75,211005,200626,134657,243814,289639,181637,67629.1,41036.5,148852,165024,28806,53082.6,151021,190042,37590.7,115226,115295,54313.5,220829,164327,152788
1538,2.47199e+06,1.32066e+06,1.59182e+06,113913,3.56251e+06,108802,1.47734e+06,773501,687469,41222.8,419897,161145,207331,148368,386287,379401,267417,56283.4,8787.91,27377,23574.3,54888.1,119168,8721.8,211055,200681,134682,243867,289676,181681,67703.4,41069.6,148900,165071,28871.2,53112.1,151064,190081,37640.8,115256,115301,54349.6,220861,164326,152835
1539,2.48289e+06,1.31971e+06,1.60263e+06,113910,3.57042e+06,108840,1.47996e+06,776468,687133,41297.9,419904,161160,207347,148386,386279,379419,267439,56313.6,8850.2,27426.2,23608.4,54912.2,119210,8789.98,211105,200736,134707,243921,289713,181725,67777.8,41102.6,148948,165119,28936.7,53141.5,151107,190120,37691,115286,115307,54385.7,220894,164325,152883
1540,2.49375e+06,1.31875e+06,1.6136e+06,113907,3.5785e+06,108878,1.48267e+06,779487,686790,41373,419911,161174,207363,148405,386270,379438,267461,56343.8,8912.66,27475.5,23642.5,54936.3,119252,8858.3,211155,200791,134731,243974,289750,181768,67852.2,41135.5,148996,165166,29002.2,53170.8,151150,190159,37741.2,115316,115313,54421.7,220927,164325,152931
1541,2.50459e+06,1.31779e+06,1.62473e+06,113904,3.58675e+06,108915,1.48546e+06,782559,686440,41448,419917,161189,207379,148423,386261,379456,267483,56373.9,8975.26,27524.7,23676.5,54960.3,119295,8926.75,211205,200846,134755,244027,289787,181812,67926.7,41168.4,149044,165214,29067.9,53200,151192,190199,37791.4,115345,115319,54457.6,220959,164324,152979
1542,2.51538e+06,1.31682e+06,1.63603e+06,113902,3.59517e+06,108953,1.48833e+06,785684,686083,41523,419924,161203,207394,148441,386252,379475,267505,56404.1,9038.01,27574.1,23710.5,54984.3,119338,8995.32,211255,200901,134779,244080,289824,181855,68001.3,41201.3,149092,165262,29133.8,53229,151235,190238,37841.7,115375,115325,54493.5,220992,164323,153027
1543,2.52614e+06,1.31584e+06,1.64749e+06,113899,3.60377e+06,108990,1.49129e+06,788864,685719,41598,419930,161217,207410,148458,386243,379494,267527,56434.1,9100.9,27623.4,23744.5,55008.1,119381,9064.01,211305,200955,134803,244133,289861,181899,68075.8,41234.1,149140,165311,29199.7,53257.9,151278,190278,37892,115404,115331,54529.4,221024,164322,153076
1544,2.53686e+06,1.31487e+06,1.65913e+06,113897,3.61256e+06,109027,1.49434e+06,792100,685348,41672.9,419936,161232,207425,148476,386233,379512,267548,56464.2,9163.91,27672.8,23778.5,55031.9,119424,9132.81,211354,201010,134827,244185,289898,181942,68150.5,41266.8,149187,165359,29265.8,53286.6,151320,190317,37942.3,115432,115337,54565.2,221057,164322,153124
1545,2.54755e+06,1.31389e+06,1.67094e+06,113895,3.62153e+06,109064,1.49749e+06,795392,684970,41747.8,419942,161246,207440,148494,386223,379530,267570,56494.2,9227.05,27722.3,23812.4,55055.5,119467,9201.72,211404,201064,134850,244237,289935,181986,68225.1,41299.5,149235,165408,29332.1,53315.3,151362,190357,37992.6,115461,115342,54601,221090,164321,153173
1546,2.55819e+06,1.3129e+06,1.68293e+06,113893,3.63068e+06,109100,1.50072e+06,798742,684585,41822.7,419947,161260,207455,148511,386213,379549,267591,56524.2,9290.31,27771.7,23846.3,55079.1,119511,9270.74,211454,201118,134874,244289,289972,182029,68299.8,41332.1,149283,165457,29398.4,53343.8,151404,190397,38043,115489,115348,54636.7,221122,164320,153222
1547,2.56878e+06,1.31192e+06,1.6951e+06,113891,3.64003e+06,109137,1.50404e+06,802150,684193,41897.5,419952,161274,207469,148528,386202,379567,267613,56554.1,9353.68,27821.2,23880.2,55102.5,119554,9339.85,211504,201173,134897,244341,290009,182073,68374.5,41364.6,149330,165506,29464.9,53372.1,151446,190436,38093.3,115517,115354,54672.3,221155,164319,153271
1548,2.57934e+06,1.31092e+06,1.70746e+06,113889,3.64957e+06,109173,1.50746e+06,805618,683794,41972.2,419957,161288,207484,148545,386191,379585,267634,56584,9417.16,27870.7,23914,55125.8,119598,9409.04,211554,201227,134920,244393,290046,182116,68449.3,41397,149378,165555,29531.4,53400.4,151488,190476,38143.7,115545,115360,54707.9,221187,164319,153320
1549,2.58984e+06,1.30993e+06,1.72001e+06,113888,3.65931e+06,109208,1.51098e+06,809148,683388,42046.8,419962,161302,207498,148562,386180,379604,267655,56613.9,9480.73,27920.1,23947.7,55149,119642,9478.33,211603,201281,134942,244444,290083,182160,68524,41429.4,149425,165604,29598.1,53428.5,151529,190516,38194.1,115573,115365,54743.5,221220,164318,153370
1550,2.6003e+06,1.30893e+06,1.73274e+06,113886,3.66925e+06,109244,1.51459e+06,812740,682975,42121.4,419967,161316,207512,148579,386169,379622,267677,56643.7,9544.4,27969.6,23981.4,55172,119686,9547.69,211653,201334,134965,244496,290120,182203,68598.8,41461.7,149473,165654,29664.9,53456.4,151570,190556,38244.5,115600,115371,54779,221252,164317,153419
1551,2.61071e+06,1.30793e+06,1.74568e+06,113885,3.6794e+06,109279,1.5183e+06,816395,682555,42195.9,419971,161330,207526,148595,386157,379640,267698,56673.5,9608.16,28019.1,24015.1,55194.9,119730,9617.13,211703,201388,134987,244547,290157,182246,68673.6,41494,149520,165703,29731.7,53484.2,151611,190596,38294.9,115627,115376,54814.5,221285,164316,153469
1552,2.62107e+06,1.30693e+06,1.75881e+06,113885,3.68976e+06,109314,1.52211e+06,820114,682128,42270.4,419975,161344,207540,148612,386145,379658,267719,56703.2,9671.99,28068.6,24048.6,55217.7,119774,9686.63,211753,201442,135010,244597,290194,182290,68748.4,41526.1,149567,165753,29798.7,53511.9,151652,190636,38345.3,115654,115382,54849.9,221317,164315,153519
1553,2.63137e+06,1.30593e+06,1.77215e+06,113884,3.70033e+06,109349,1.52602e+06,823900,681694,42344.7,419979,161358,207554,148628,386133,379676,267739,56732.8,9735.9,28118.1,24082.1,55240.2,119818,9756.2,211802,201495,135032,244648,290231,182333,68823.3,41558.2,149614,165803,29865.8,53539.4,151693,190677,38395.7,115680,115387,54885.2,221350,164314,153569
1554,2.64163e+06,1.30492e+06,1.78569e+06,113884,3.71112e+06,109384,1.53003e+06,827753,681254,42418.9,419983,161372,207568,148644,386120,379694,267760,56762.4,9799.88,28167.5,24115.6,55262.6,119863,9825.82,211852,201549,135054,244698,290268,182376,68898.1,41590.2,149661,165853,29932.9,53566.8,151733,190717,38446.1,115707,115393,54920.5,221382,164313,153619
1555,2.65183e+06,1.30392e+06,1.79945e+06,113884,3.72213e+06,109418,1.53415e+06,831674,680806,42493,419986,161386,207581,148660,386107,379712,267781,56792,9863.92,28217,24148.9,55284.9,119907,9895.49,211902,201602,135075,244748,290306,182419,68972.9,41622.1,149708,165903,30000.2,53594.1,151774,190757,38496.5,115733,115398,54955.7,221414,164312,153669
1556,2.66197e+06,1.30291e+06,1.81342e+06,113884,3.73337e+06,109452,1.53838e+06,835666,680351,42567,419990,161399,207594,148675,386094,379730,267801,56821.5,9928.01,28266.4,24182.2,55306.9,119952,9965.21,211951,201655,135097,244798,290343,182462,69047.8,41654,149755,165954,30067.5,53621.2,151814,190797,38546.8,115758,115404,54990.9,221446,164311,153719
1557,2.67206e+06,1.3019e+06,1.82761e+06,113884,3.74484e+06,109486,1.54271e+06,839729,679889,42640.9,419993,161413,207607,148691,386081,379748,267822,56850.9,9992.15,28315.7,24215.4,55328.8,119997,10035,212001,201708,135118,244848,290380,182505,69122.6,41685.7,149801,166004,30134.9,53648.1,151854,190838,38597.2,115784,115409,55026.1,221478,164310,153770
1558,2.68209e+06,1.30089e+06,1.84202e+06,113885,3.75654e+06,109520,1.54715e+06,843864,679421,42714.7,419996,161427,207620,148706,386067,379766,267842,56880.3,10056.3,28365.1,24248.5,55350.4,120042,10104.7,212050,201761,135139,244897,290417,182549,69197.4,41717.3,149848,166055,30202.3,53674.9,151893,190878,38647.5,115809,115414,55061.2,221510,164309,153820
1559,2.69206e+06,1.29988e+06,1.85667e+06,113886,3.76849e+06,109553,1.55171e+06,848074,678945,42788.3,419998,161440,207633,148721,386053,379784,267863,56909.6,10120.5,28414.4,24281.6,55371.9,120087,10174.6,212100,201813,135160,244946,290455,182592,69272.2,41748.9,149894,166106,30269.8,53701.6,151933,190919,38697.8,115833,115419,55096.2,221542,164307,153871
1560,2.70197e+06,1.29886e+06,1.87154e+06,113887,3.78068e+06,109586,1.55638e+06,852360,678463,42861.8,420001,161454,207645,148736,386039,379802,267883,56938.8,10184.8,28463.6,24314.5,55393.1,120132,10244.4,212149,201866,135181,244995,290492,182635,69347,41780.4,149941,166157,30337.4,53728.1,151972,190959,38748,115858,115425,55131.2,221574,164306,153922
1561,2.71183e+06,1.29785e+06,1.88666e+06,113889,3.79312e+06,109619,1.56116e+06,856724,677973,42935.1,420003,161467,207658,148751,386024,379819,267903,56968,10249,28512.8,24347.3,55414.1,120177,10314.2,212199,201919,135202,245044,290529,182677,69421.8,41811.7,149987,166208,30405.1,53754.4,152011,191000,38798.3,115882,115430,55166.1,221606,164305,153973
1562,2.72162e+06,1.29684e+06,1.90202e+06,113891,3.80581e+06,109651,1.56606e+06,861167,677477,43008.3,420005,161481,207670,148766,386009,379837,267923,56997.1,10313.3,28561.9,24380.1,55434.9,120222,10384.1,212248,201971,135223,245092,290567,182720,69496.5,41843,150033,166259,30472.8,53780.6,152049,191040,38848.5,115906,115435,55201,221638,164303,154024
1563,2.73136e+06,1.29583e+06,1.91763e+06,113893,3.81877e+06,109683,1.57108e+06,865690,676973,43081.3,420007,161494,207682,148780,385994,379855,267943,57026.2,10377.6,28610.9,24412.7,55455.4,120267,10453.9,212298,202023,135243,245141,290604,182763,69571.3,41874.2,150079,166311,30540.6,53806.6,152088,191081,38898.6,115929,115440,55235.8,221670,164302,154075
1564,2.74103e+06,1.29482e+06,1.93349e+06,113895,3.83199e+06,109715,1.57623e+06,870296,676463,43154.1,420009,161508,207694,148794,385979,379872,267963,57055.1,10441.9,28659.9,24445.2,55475.7,120313,10523.8,212347,202075,135263,245189,290641,182806,69646,41905.2,150125,166362,30608.4,53832.5,152126,191122,38948.7,115952,115445,55270.6,221701,164301,154127
1565,2.75064e+06,1.29381e+06,1.9496e+06,113898,3.84548e+06,109747,1.58149e+06,874987,675945,43226.8,420011,161521,207705,148809,385963,379890,267982,57084,10506.2,28708.8,24477.7,55495.7,120358,10593.6,212397,202128,135283,245236,290679,182849,69720.6,41936.2,150170,166414,30676.2,53858.2,152164,191162,38998.8,115975,115450,55305.3,221733,164299,154178
1566,2.76018e+06,1.2928e+06,1.96598e+06,113902,3.85925e+06,109778,1.58688e+06,879764,675421,43299.2,420013,161534,207717,148822,385947,379908,268002,57112.9,10570.5,28757.7,24509.9,55515.5,120404,10663.4,212446,202179,135303,245284,290716,182892,69795.3,41967,150216,166466,30744.1,53883.8,152202,191203,39048.8,115997,115455,55340,221764,164298,154230
