Temp,"HSN[Si,Si]@Liquid","HSN[Co,Co]@Liquid","HSN[Ti,Ti]@Liquid","HSN[Cr,Cr]@Liquid","HSN[Mn,Mn]@Liquid","HSN[Fe,Fe]@Liquid","HSN[Al,Al]@Liquid","HSN[Nb,Nb]@Liquid","HSN[Mo,Mo]@Liquid","HSN[Si,Co]@Liquid","HSN[Si,Ti]@Liquid","HSN[Si,Cr]@Liquid","HSN[Si,Mn]@Liquid","HSN[Si,Fe]@Liquid","HSN[Si,Al]@Liquid","HSN[Si,Nb]@Liquid","HSN[Si,Mo]@Liquid","HSN[Co,Ti]@Liquid","HSN[Co,Cr]@Liquid","HSN[Co,Mn]@Liquid","HSN[Co,Fe]@Liquid","HSN[Co,Al]@Liquid","HSN[Co,Nb]@Liquid","HSN[Co,Mo]@Liquid","HSN[Ti,Cr]@Liquid","HSN[Ti,Mn]@Liquid","HSN[Ti,Fe]@Liquid","HSN[Ti,Al]@Liquid","HSN[Ti,Nb]@Liquid","HSN[Ti,Mo]@Liquid","HSN[Cr,Mn]@Liquid","HSN[Cr,Fe]@Liquid","HSN[Cr,Al]@Liquid","HSN[Cr,Nb]@Liquid","HSN[Cr,Mo]@Liquid","HSN[Mn,Fe]@Liquid","HSN[Mn,Al]@Liquid","HSN[Mn,Nb]@Liquid","HSN[Mn,Mo]@Liquid","HSN[Fe,Al]@Liquid","HSN[Fe,Nb]@Liquid","HSN[Fe,Mo]@Liquid","HSN[Al,Nb]@Liquid","HSN[Al,Mo]@Liquid","HSN[Nb,Mo]@Liquid"
1535,1.32857e+06,1.85893e+06,835236,137597,2.76393e+06,112905,1.15487e+06,521863,920707,70883.2,211867,169711,165221,130129,382925,195430,114997,60718.3,2795.72,29346.3,17161.4,59591.1,101749,-706.502,185662,209779,127118,247570,328570,167947,74389,39322.4,127284,164248,54530.2,59158.8,148700,182499,57713.2,88322.4,87244.9,44342,222480,109956,154192
1536,1.33719e+06,1.85366e+06,838758,137273,2.76412e+06,112907,1.15322e+06,522811,919620,70952.2,211857,169695,165252,130191,382936,195429,114963,60775.3,2878.19,29418.7,17236.8,59694.5,101829,-658.269,185653,209820,127158,247653,328625,167931,74459.2,39369,127377,164268,54520.4,59213.4,148807,182560,57719.9,88404.7,87331.9,44343.2,222603,109982,154203
1537,1.34588e+06,1.8484e+06,842321,136951,2.76443e+06,112909,1.15166e+06,523775,918518,71021.5,211847,169680,165283,130252,382947,195428,114930,60832.2,2960.62,29491.2,17312.2,59797.5,101909,-609.989,185643,209861,127198,247735,328679,167914,74529.1,39415.4,127468,164289,54510.3,59267.8,148914,182621,57726.5,88486.2,87419.1,44344.3,222726,110006,154214
1538,1.35464e+06,1.84314e+06,845928,136631,2.76486e+06,112911,1.15019e+06,524753,917403,71091.1,211837,169665,165314,130314,382958,195427,114896,60888.9,3043,29563.8,17387.6,59900.1,101988,-561.662,185632,209901,127238,247817,328733,167897,74598.8,39461.6,127560,164309,54500,59321.9,149019,182682,57732.9,88566.8,87506.4,44345.1,222848,110030,154225
1539,1.36346e+06,1.83789e+06,849578,136313,2.7654e+06,112914,1.14879e+06,525748,916273,71160.8,211827,169649,165346,130376,382968,195427,114862,60945.3,3125.34,29636.4,17462.9,60002.2,102068,-513.29,185621,209941,127277,247897,328787,167880,74668.3,39507.5,127650,164329,54489.5,59375.8,149124,182743,57739.3,88646.6,87593.9,44345.7,222970,110053,154236
1540,1.37235e+06,1.83265e+06,853272,135997,2.76607e+06,112918,1.14748e+06,526758,915129,71230.9,211816,169634,165377,130439,382977,195426,114829,61001.6,3207.63,29709.2,17538.2,60103.9,102148,-464.873,185610,209980,127316,247977,328841,167862,74737.6,39553.3,127740,164349,54478.7,59429.5,149228,182804,57745.6,88725.4,87681.6,44346.2,223091,110076,154247
1541,1.38131e+06,1.82741e+06,857012,135683,2.76687e+06,112922,1.14626e+06,527785,913971,71301.1,211805,169618,165409,130501,382986,195426,114795,61057.7,3289.89,29781.9,17613.5,60205.2,102228,-416.412,185598,210020,127354,248055,328894,167844,74806.7,39598.8,127829,164368,54467.7,59483,149332,182865,57751.9,88803.4,87769.4,44346.5,223211,110098,154258
1542,1.39033e+06,1.82218e+06,860798,135371,2.76778e+06,112926,1.14512e+06,528829,912798,71371.6,211794,169602,165440,130563,382994,195426,114762,61113.7,3372.1,29854.8,17688.8,60306,102308,-367.907,185585,210059,127392,248133,328947,167826,74875.6,39644.2,127917,164388,54456.5,59536.3,149435,182926,57758,88880.6,87857.3,44346.5,223331,110120,154269
1543,1.39941e+06,1.81696e+06,864631,135060,2.76882e+06,112931,1.14406e+06,529889,911611,71442.3,211782,169585,165472,130626,383002,195425,114728,61169.4,3454.26,29927.7,17764,60406.4,102388,-319.359,185572,210097,127430,248210,328999,167807,74944.2,39689.3,128005,164407,54445,59589.4,149537,182986,57764,88956.9,87945.4,44346.4,223450,110141,154280
1544,1.40856e+06,1.81174e+06,868513,134752,2.76999e+06,112937,1.14309e+06,530967,910409,71513.3,211771,169569,165503,130688,383009,195425,114694,61224.9,3536.38,30000.6,17839.2,60506.4,102468,-270.769,185558,210135,127467,248286,329052,167789,75012.7,39734.2,128092,164426,54433.3,59642.2,149639,183047,57769.9,89032.3,88033.6,44346.1,223568,110161,154290
