Temperature,CrCr,CrFe,CrNb,CrMo,CrTi,CrAl,CrCo,CrC,CrMn,CrSi,CrS,CrB,CrCu,FeCr,FeFe,FeNb,FeMo,FeTi,FeAl,FeCo,FeC,FeMn,FeSi,FeS,FeB,FeCu,NbCr,NbFe,NbNb,NbMo,NbTi,NbAl,NbCo,NbC,NbMn,NbSi,NbS,NbB,NbCu,MoCr,MoFe,MoNb,MoMo,MoTi,MoAl,MoCo,MoC,MoMn,MoSi,MoS,MoB,MoCu,TiCr,TiFe,TiNb,TiMo,TiTi,TiAl,TiCo,TiC,TiMn,TiSi,TiS,TiB,TiCu,AlCr,AlFe,AlNb,AlMo,AlTi,AlAl,AlCo,AlC,AlMn,AlSi,AlS,AlB,AlCu,CoCr,CoFe,CoNb,CoMo,CoTi,CoAl,CoCo,CoC,CoMn,CoSi,CoS,CoB,CoCu,CCr,CFe,CNb,CMo,CTi,CAl,CCo,CC,CMn,CSi,CS,CB,CCu,MnCr,MnFe,MnNb,MnMo,MnTi,MnAl,MnCo,MnC,MnMn,MnSi,MnS,MnB,MnCu,SiCr,SiFe,SiNb,SiMo,SiTi,SiAl,SiCo,SiC,SiMn,SiSi,SiS,SiB,SiCu,SCr,SFe,SNb,SMo,STi,SAl,SCo,SC,SMn,SSi,SS,SB,SCu,BCr,BFe,BNb,BMo,BTi,BAl,BCo,BC,BMn,BSi,BS,BB,BCu,CuCr,CuFe,CuNb,CuMo,CuTi,CuAl,CuCo,CuC,CuMn,CuSi,CuS,CuB,CuCu
1472,113248.545,34641.4563,106815.693,40736.10713,176766.91,121315.19,11796.397,-79729.51,81714.318,114031.417,815.424,-761.449,49988.3223,34641.4567,114607.97,83041.347,57272.933,129229.658,73851.5439,9545.074,-2216.39,68802.977,162037.37,22674.5442,17925.79317,33517.181,106815.693,83041.347,389770.956,67512.041,271183.358,183999.017,30928.737,-138044.921,128108.172,177354.709,58663.772,37681.102,164787.387,40736.108,57272.934,67512.041,456970.697,171985.766,134365.122,5195.547,-89787.075,74660.599,160264.772,-579.906,-51588.511,81020.241,176766.906,129229.658,271183.356,171985.767,781077.238,226036.087,58297.173,-135626.801,210065.516,346295.43,68306.097,-120953.676,124290.605,121315.19,73851.544,183999.016,134365.121,226036.088,2058868.447,52439.859,167630.559,156083.329,364188.49,105229.062,185101.424,23007.254,11796.397,9545.074,30928.737,5195.547,58297.173,52439.859,20309265.82,-23999.5023,30550.487,100417.8218,26996.523,-10284.108,67338.796,-79729.504,-2216.39,-138044.924,-89787.073,-135626.802,167630.557,-23999.502,5657935.049,7797.265,339506.23,53569.647,84608.08,121996.097,81714.319,68802.977,128108.172,74660.598,210065.518,156083.329,30550.487,7797.265,17613121.16,212306.18,27157.357,-25303.344,22693.266,114031.42,162037.37,177354.716,160264.777,346295.428,364188.487,100417.824,339506.229,212306.186,6486975.95,446361.301,313198.524,243402.307,815.425,22674.544,58663.772,-579.906,68306.097,105229.062,26996.5232,53569.647,27157.357,446361.3,3171795.221,58787.182,-12618.027,-761.449,17925.793,37681.102,-51588.512,-120953.682,185101.427,-10284.109,84608.079,-25303.344,313198.52,58787.182,560078.604,74480,49988.3228,33517.1815,164787.389,81020.241,124290.605,23007.254,67338.796,121996.099,22693.266,243402.3,-12618.027,74480,16906472.7
1472.73098,113284.938,34666.0589,106790.261,40741.43316,176753.651,121330.325,11818.5609,-79738.505,81745.35,114074.713,843.59,-746.253,50005.0592,34666.0597,114662.632,83015.411,57272.244,129221.017,73876.2408,9563.966,-2220.463,68818.888,162073.213,22675.3892,17944.94449,33541.85,106790.262,83015.411,389742.752,67479.268,271118.718,183981.126,30918.652,-138056.071,128082.801,177344.509,58688.107,37642.759,164688.966,40741.4334,57272.243,67479.268,456911.95,171963.44,134386.635,5232.396,-89760.284,74680.089,160284.185,-520.812,-51576.779,81035.289,176753.653,129221.016,271118.722,171963.44,781582.168,226044.116,58305.026,-135649.101,210066.154,346271.11,68290.32,-120979.233,124292.264,121330.325,73876.24,183981.132,134386.635,226044.108,2059480.086,52466.38,167606.239,156117.043,364114.94,105249.6,185082.277,23011.539,11818.561,9563.965,30918.652,5232.396,58305.026,52466.38,20313150.16,-23976.5477,30573.356,100482.6425,27038.3625,-10251.395,67361.957,-79738.507,-2220.464,-138056.068,-89760.28,-135649.092,167606.24,-23976.548,5639438.209,7818.557,339509.74,53584.166,84580.769,121999.475,81745.35,68818.887,128082.801,74680.089,210066.158,156117.043,30573.356,7818.557,17619736.82,212350.01,27181.5308,-25324.588,22710.45,114074.713,162073.215,177344.512,160284.18,346271.108,364114.946,100482.642,339509.739,212350.004,6494787.01,446423.933,313199.397,243424.736,843.59,22675.388,58688.107,-520.813,68290.319,105249.599,27038.3621,53584.165,27181.531,446423.93,3157690.463,58809.116,-12605.437,-746.253,17944.944,37642.759,-51576.779,-120979.232,185082.276,-10251.394,84580.769,-25324.587,313199.39,58809.117,559758.757,74470.715,50005.0596,33541.8491,164688.966,81035.29,124292.263,23011.54,67361.957,121999.479,22710.45,243424.73,-12605.436,74470.715,16914677.52
1472.774087,113287.396,34670.4288,106791.741,40743.62872,176757.475,121334.94,11820.915,-79740.815,81748.687,114077.616,847.678,-743.33,50006.742,34670.4288,114661.322,83020.714,57274.712,129226.693,73882.319,9567.593,-2219.742,68823.018,162077.975,22679.2508,17949.08037,33545.355,106791.741,83020.714,389829.814,67479.966,271123.523,183985.316,30919.714,-138059.081,128084.423,177347.823,58695.054,37641.441,164684.169,40743.6291,57274.712,67479.9661,457064.573,171965.802,134391.003,5234.779,-89761.569,74681.771,160286.326,-517.763,-51576.141,81034.437,176757.476,129226.693,271123.524,171965.803,781582.723,226051.286,58309.246,-135655.511,210070.61,346277.9,68297.933,-120978.237,124295.751,121334.94,73882.319,183985.314,134391.002,226051.293,2058946.216,52471.434,167604.559,156124.446,364114.34,105257.077,185084.253,23014.545,11820.915,9567.593,30919.714,5234.779,58309.246,52471.434,20313239.32,-23977.4216,30575.59,100487.4114,27042.1836,-10248.5,67348.823,-79740.814,-2219.743,-138059.086,-89761.567,-135655.507,167604.556,-23977.422,5637016.849,7818.064,339509.4,53586.919,84580.512,121996.516,81748.687,68823.018,128084.423,74681.771,210070.603,156124.446,30575.59,7818.065,17621468.42,212353.17,27185.527,-25324.717,22711.951,114077.618,162077.982,177347.824,160286.323,346277.903,364114.336,100487.413,339509.399,212353.17,6496981.46,446433.462,313200.483,243427.899,847.678,22679.251,58695.055,-517.763,68297.933,105257.077,27042.1837,53586.92,27185.527,446433.46,3156313.092,58811.772,-12598.683,-743.329,17949.081,37641.441,-51576.141,-120978.237,185084.246,-10248.499,84580.513,-25324.717,313200.48,58811.772,559708.083,74471.002,50006.7417,33545.3543,164684.166,81034.436,124295.75,23014.545,67348.823,121996.519,22711.95,243427.89,-12598.684,74471.001,16910162.19
1472.774087,113287.396,34670.4288,106791.741,40743.62872,176757.475,121334.94,11820.915,-79740.815,81748.687,114077.616,847.678,-743.33,50006.742,34670.4288,114661.322,83020.714,57274.712,129226.693,73882.319,9567.593,-2219.742,68823.018,162077.975,22679.2508,17949.08037,33545.355,106791.741,83020.714,389829.814,67479.966,271123.523,183985.316,30919.714,-138059.081,128084.423,177347.823,58695.054,37641.441,164684.169,40743.6291,57274.712,67479.9661,457064.573,171965.802,134391.003,5234.779,-89761.569,74681.771,160286.326,-517.763,-51576.141,81034.437,176757.476,129226.693,271123.524,171965.803,781582.723,226051.286,58309.246,-135655.511,210070.61,346277.9,68297.933,-120978.237,124295.751,121334.94,73882.319,183985.314,134391.002,226051.293,2058946.216,52471.434,167604.559,156124.446,364114.34,105257.077,185084.253,23014.545,11820.915,9567.593,30919.714,5234.779,58309.246,52471.434,20313239.32,-23977.4216,30575.59,100487.4114,27042.1836,-10248.5,67348.823,-79740.814,-2219.743,-138059.086,-89761.567,-135655.507,167604.556,-23977.422,5637016.849,7818.064,339509.4,53586.919,84580.512,121996.516,81748.687,68823.018,128084.423,74681.771,210070.603,156124.446,30575.59,7818.065,17621468.42,212353.17,27185.527,-25324.717,22711.951,114077.618,162077.982,177347.824,160286.323,346277.903,364114.336,100487.413,339509.399,212353.17,6496981.46,446433.462,313200.483,243427.899,847.678,22679.251,58695.055,-517.763,68297.933,105257.077,27042.1837,53586.92,27185.527,446433.46,3156313.092,58811.772,-12598.683,-743.329,17949.081,37641.441,-51576.141,-120978.237,185084.246,-10248.499,84580.513,-25324.717,313200.48,58811.772,559708.083,74471.002,50006.7417,33545.3543,164684.166,81034.436,124295.75,23014.545,67348.823,121996.519,22711.95,243427.89,-12598.684,74471.001,16910162.19
1473.34,113304.066,34692.9481,106798.662,40745.22814,176697.826,121338.402,11853.445,-79730.008,81781.48,114115.191,921.367,-730.866,50021.5993,34692.9483,114647.29,83020.864,57280.06,129168.226,73877.1523,9579.751,-2207.491,68839.508,162129.65,22696.6067,17944.06317,33552.308,106798.662,83020.864,389654.57,67448.003,271039.454,183973.502,30919.354,-138111.973,128070.868,177376.911,58746.182,37610.703,164610.701,40745.2277,57280.059,67448.0032,457715.211,171882.205,134396.653,5250.864,-89754.26,74686.785,160320.296,-490.488,-51597.426,81007.887,176697.822,129168.225,271039.46,171882.201,783475.804,225977.162,58249.571,-135800.823,210012.152,346319.04,68280.135,-121059.504,124218.217,121338.402,73877.151,183973.5,134396.653,225977.164,2050254.462,52465.658,167543.117,156139.836,364061.47,105272.461,185041.586,22989.855,11853.445,9579.751,30919.355,5250.865,58249.572,52465.658,20322475.78,-23943.2735,30587.491,100545.4171,27062.4073,-10264.387,67386.423,-79730.008,-2207.491,-138111.98,-89754.259,-135800.826,167543.118,-23943.274,5616817.507,7817.774,339527.37,53478.344,84503.554,121965.179,81781.481,68839.508,128070.868,74686.786,210012.154,156139.837,30587.491,7817.775,17641685.79,212405.51,27252.6521,-25378.577,22703.124,114115.192,162129.646,177376.91,160320.301,346319.034,364061.472,100545.418,339527.367,212405.512,6454072.97,446464.674,313209.736,243466.361,921.366,22696.606,58746.182,-490.488,68280.135,105272.462,27062.4068,53478.344,27252.651,446464.67,3143136.934,58762.424,-12562.301,-730.867,17944.062,37610.703,-51597.426,-121059.506,185041.582,-10264.387,84503.554,-25378.578,313209.73,58762.424,565036.846,74414.071,50021.5993,33552.3078,164610.699,81007.888,124218.218,22989.856,67386.423,121965.177,22703.124,243466.36,-12562.301,74414.071,16878622.47
1474.68,113344.825,34746.1436,106815.383,40748.81856,176556.284,121346.321,11930.2447,-79704.745,81859.021,114202.97,1095.412,-701.065,50056.621,34746.1436,114614.845,83021.374,57292.582,129029.448,73864.5115,9608.254,-2178.699,68878.336,162251.07,22737.095,17932.18193,33568.291,106815.383,83021.375,389243.288,67372.37,270840.569,183945.583,30918.383,-138237.355,128038.69,177444.918,58866.753,37538.147,164436.469,40748.8181,57292.581,67372.3696,459270.637,171683.756,134409.913,5288.595,-89737.287,74698.301,160399.57,-426.744,-51647.886,80944.215,176556.285,129029.448,270840.568,171683.757,788006.719,225800.963,58108.086,-136145.725,209873.223,346416.45,68237.503,-121252.07,124033.93,121346.321,73864.511,183945.578,134409.913,225800.969,2029843.833,52451.831,167397.375,156175.247,363934.74,105308.055,184940.33,22930.974,11930.245,9608.255,30918.383,5288.595,58108.086,52451.831,20344695.17,-23863.3221,30615.303,100681.2882,27109.6007,-10302.077,67474.462,-79704.745,-2178.7,-138237.362,-89737.283,-136145.721,167397.377,-23863.323,5569531.825,7816.923,339569.07,53222.132,84321.869,121890.869,81859.021,68878.336,128038.69,74698.301,209873.219,156175.247,30615.303,7816.924,17690046.94,212528.49,27410.9788,-25506.019,22681.561,114202.972,162251.068,177444.918,160399.577,346416.449,363934.743,100681.29,339569.065,212528.493,6353893.56,446536.592,313230.57,243556.089,1095.412,22737.095,58866.753,-426.743,68237.504,105308.055,27109.6005,53222.132,27410.979,446536.59,3112305.132,58645.072,-12476.612,-701.065,17932.182,37538.147,-51647.885,-121252.071,184940.333,-10302.077,84321.869,-25506.019,313230.57,58645.072,578217.88,74279.127,50056.6204,33568.2904,164436.47,80944.215,124033.93,22930.973,67474.461,121890.865,22681.56,243556.09,-12476.612,74279.127,16804311.6
1476.02,113387.375,34799.1629,106832.57,40752.13782,176414.324,121353.859,12006.7305,-79679.942,81936.41,114289.098,1268.849,-670.859,50091.4181,34799.1629,114583.483,83022.104,57304.91,128890.204,73851.3107,9636.359,-2150.219,68916.865,162371.199,22776.7387,17920.30316,33583.599,106832.57,83022.104,388837.208,67296.808,270641.921,183917.72,30917.246,-138362.944,128006.399,177511.729,58986.64,37465.907,164261.863,40752.138,57304.91,67296.8078,460847.032,171484.607,134423.012,5325.827,-89720.783,74709.314,160477.234,-364.169,-51698.428,80879.409,176414.328,128890.204,270641.918,171484.612,792606.501,225623.84,57966.348,-136491.744,209733.557,346513.88,68194.196,-121444.804,123848.662,121353.859,73851.311,183917.718,134423.012,225623.841,2009670.88,52437.801,167251.266,156209.221,363805.85,105342.487,184838.776,22871.508,12006.73,9636.359,30917.246,5325.827,57966.347,52437.8,20367401.8,-23784.6395,30642.601,100815.1103,27155.8308,-10339.865,67561.097,-79679.942,-2150.219,-138362.952,-89720.778,-136491.749,167251.269,-23784.639,5522999.376,7815.841,339609.57,52967.147,84140.935,121816.396,81936.411,68916.865,128006.4,74709.314,209733.561,156209.222,30642.602,7815.841,17739100.49,212650.13,27568.4494,-25633.326,22659.067,114289.094,162371.195,177511.728,160477.232,346513.881,363805.84,100815.107,339609.566,212650.127,6255682.99,446605.702,313249.916,243643.963,1268.849,22776.739,58986.641,-364.169,68194.196,105342.488,27155.8317,52967.147,27568.449,446605.71,3081981.522,58527.026,-12391.566,-670.859,17920.303,37465.907,-51698.428,-121444.799,184838.78,-10339.865,84140.935,-25633.326,313249.92,58527.026,592252.476,74143.987,50091.4178,33583.5983,164261.859,80879.408,123848.661,22871.508,67561.097,121816.396,22659.066,243643.97,-12391.566,74143.986,16730516.61
1477.36,113431.692,34852.011,106850.218,40755.19215,176271.955,121361.027,12082.9048,-79655.6,82013.651,114373.579,1441.685,-640.255,50125.9916,34852.0102,114553.188,83023.053,57317.049,128750.503,73837.564,9664.069,-2122.053,68955.1,162490.038,22815.5482,17908.42496,33598.237,106850.218,83023.053,388436.344,67221.317,270443.522,183889.923,30915.941,-138488.747,127973.998,177577.341,59105.85,37393.974,164086.863,40755.1916,57317.049,67221.3171,462444.576,171284.77,134435.958,5362.564,-89704.748,74719.83,160553.289,-302.756,-51749.056,80813.472,176271.955,128750.503,270443.524,171284.766,797276.272,225445.793,57824.364,-136838.877,209593.173,346611.34,68150.225,-121637.717,123662.425,121361.027,73837.565,183889.924,134435.958,225445.802,1989733.213,52423.575,167104.803,156241.779,363674.81,105375.772,184736.923,22811.469,12082.905,9664.07,30915.941,5362.565,57824.364,52423.575,20390591.64,-23707.2187,30669.391,100946.8909,27201.1095,-10377.751,67646.316,-79655.605,-2122.053,-138488.756,-89704.744,-136838.878,167104.803,-23707.219,5477206.463,7814.528,339648.87,52713.381,83960.74,121741.757,82013.651,68955.101,127973.998,74719.83,209593.182,156241.779,30669.391,7814.529,17788846.42,212770.43,27725.073,-25760.498,22635.652,114373.579,162490.036,177577.344,160553.286,346611.342,363674.803,100946.891,339648.873,212770.433,6159404.86,446672.038,313267.803,243729.993,1441.685,22815.549,59105.85,-302.755,68150.226,105375.772,27201.1095,52713.381,27725.073,446672.04,3052155.808,58408.297,-12307.157,-640.255,17908.425,37393.974,-51749.056,-121637.708,184736.923,-10377.752,83960.74,-25760.498,313267.8,58408.296,607225.273,74008.647,50125.9917,33598.2381,164086.866,80813.473,123662.426,22811.469,67646.316,121741.763,22635.652,243729.99,-12307.157,74008.647,16657233.51
1478.7,113477.754,34904.6924,106868.325,40757.98623,176129.188,121367.84,12158.7764,-79631.723,82090.748,114456.446,1613.93,-609.256,50160.3447,34904.693,114523.942,83024.225,57329.002,128610.356,73823.2862,9691.394,-2094.205,68993.049,162607.62,22853.5341,17896.54869,33612.216,106868.325,83024.225,388040.761,67145.899,270245.37,183862.193,30914.472,-138614.772,127941.489,177641.781,59224.389,37322.338,163911.491,40757.9867,57329.002,67145.8985,464063.477,171084.253,134448.76,5398.814,-89689.184,74729.853,160627.766,-242.494,-51799.771,80746.412,176129.193,128610.356,270245.371,171084.257,802017.13,225266.863,57682.143,-137187.112,209452.089,346708.83,68105.602,-121830.787,123475.233,121367.84,73823.286,183862.201,134448.76,225266.86,1970028.743,52409.167,166957.988,156272.938,363541.65,105407.924,184634.773,22750.87,12158.777,9691.394,30914.471,5398.814,57682.143,52409.167,20414259.71,-23631.0546,30695.679,101076.6665,27245.4492,-10415.733,67730.107,-79631.727,-2094.205,-138614.769,-89689.183,-137187.11,166957.988,-23631.055,5432139.788,7812.985,339687,52460.827,83781.271,121666.951,82090.749,68993.049,127941.488,74729.853,209452.09,156272.937,30695.679,7812.985,17839288.75,212889.44,27880.8583,-25887.531,22611.325,114456.451,162607.629,177641.781,160627.767,346708.83,363541.653,101076.671,339686.998,212889.439,6065024.6,446735.614,313284.243,243814.201,1613.931,22853.534,59224.389,-242.494,68105.602,105407.925,27245.4497,52460.827,27880.859,446735.61,3022817.894,58288.898,-12223.377,-609.256,17896.548,37322.338,-51799.771,-121830.79,184634.773,-10415.734,83781.27,-25887.532,313284.24,58288.897,623232.363,73873.108,50160.3456,33612.2158,163911.49,80746.413,123475.234,22750.871,67730.108,121666.948,22611.326,243814.19,-12223.377,73873.109,16584457.3
1480.04,113525.538,34957.2146,106886.887,40760.52731,175986.036,121374.309,12234.3485,-79608.313,82167.705,114537.732,1785.591,-577.871,50194.4788,34957.2151,114495.732,83025.626,57340.776,128469.778,73808.4924,9718.34,-2066.679,69030.719,162723.973,22890.7076,17884.67399,33625.541,106886.887,83025.626,387650.515,67070.555,270047.486,183834.551,30912.838,-138741.016,127908.873,177705.076,59342.265,37250.993,163735.737,40760.5273,57340.775,67070.555,465703.925,170883.071,134461.427,5434.581,-89674.092,74739.388,160700.696,-183.373,-51850.576,80678.235,175986.035,128469.778,270047.485,170883.075,806830.176,225087.061,57539.696,-137536.446,209310.313,346806.37,68060.341,-122024.014,123287.101,121374.31,73808.493,183834.555,134461.428,225087.066,1950555.281,52394.588,166810.834,156302.718,363406.42,105438.96,184532.336,22689.724,12234.348,9718.339,30912.838,5434.581,57539.696,52394.587,20438402,-23556.1422,30721.47,101204.4722,27288.8628,-10453.811,67812.455,-79608.315,-2066.679,-138741.015,-89674.095,-137536.444,166810.832,-23556.141,5387785.854,7811.211,339723.97,52209.48,83602.516,121591.972,82167.705,69030.719,127908.874,74739.388,209310.316,156302.718,30721.47,7811.211,17890425.46,213007.17,28035.8138,-26014.426,22586.096,114537.73,162723.975,177705.075,160700.695,346806.376,363406.411,101204.471,339723.964,213007.173,5972508.94,446796.464,313299.256,243896.597,1785.592,22890.708,59342.265,-183.373,68060.342,105438.959,27288.8633,52209.48,28035.814,446796.47,2993957.684,58168.841,-12140.218,-577.871,17884.674,37250.993,-51850.576,-122024.014,184532.331,-10453.811,83602.515,-26014.426,313299.26,58168.841,640383.276,73737.371,50194.479,33625.5409,163735.733,80678.235,123287.101,22689.723,67812.456,121591.974,22586.096,243896.6,-12140.218,73737.372,16512184.98
