Temp,"HSN(Zn,Zn)@liq","HSN(Zn,Zn)@fcc"
864,29298.5,69067.8
863,28698.6,67614.8
862,28116.8,66203.9
861,27552.2,64833.2
860,27004.2,63501.2
859,26472.1,62206.3
858,25955.3,60947.1
857,25453.4,59722
856,24965.7,58529.9
855,24491.7,57369.4
854,24030.9,56239.4
853,23583,55138.6
852,23147.4,54066.1
851,22723.7,53020.8
850,22311.6,52001.6
849,21910.6,51007.8
848,21520.5,50038.3
847,21140.8,49092.3
846,20771.3,48169.1
845,20411.6,47267.8
844,20061.5,46387.7
843,19720.7,45528.1
842,19388.9,44688.3
841,19065.8,43867.6
840,18751.3,43065.5
839,18445.1,42281.4
838,18146.9,41514.7
837,17856.3,40764.8
836,17573.7,40031.1
835,17298.5,39313.3
834,17030.7,38610.8
833,16769.9,37923.2
832,16516.2,37250
831,16269.2,36590.8
830,16028.9,35945.1
829,15795,35312.6
828,15567.5,34692.9
827,15346.3,34085.6
826,15131.1,33490.4
825,14922,32906.9
824,14718.7,32334.7
823,14521.1,31773.7
822,14329.2,31223.4
821,14142.8,30683.6
820,13961.9,30154
819,13786.4,29634.3
818,13616.1,29124.2
817,13450.9,28623.5
816,13290.9,28132
815,13135.9,27649.3
814,12985.9,27175.3
813,12840.7,26709.7
812,12700.3,26252.3
811,12564.6,25802.9
810,12433.6,25361.3
809,12307.3,24927.3
808,12185.4,24500.7
807,12068,24081.3
806,11955.1,23669
805,11846.5,23263.4
804,11742.2,22864.6
803,11642.2,22472.3
802,11546.4,22086.3
801,11454.8,21706.5
800,11367.3,21332.8
799,11283.9,20964.9
798,11204.6,20602.8
797,11129.2,20246.3
796,11057.7,19895.3
795,10990.2,19549.7
794,10926.5,19209.2
793,10866.6,18873.8
792,10810.5,18543.4
791,10758.1,18217.9
790,10709.5,17897.1
789,10664.5,17580.9
788,10623.1,17269.2
787,10585.3,16962
786,10551,16659
785,10520.3,16360.3
784,10493,16065.6
783,10469.2,15775
