Temp,"HSN(Mg,Mg)","HSN(Zn,Zn)","HSN(Mg,Zn)"
851,82348.1,64606.5,-15282.5
850,81363.8,63605.2,-15287
849,80405.8,62628.8,-15290.2
848,79473.2,61676.4,-15292.1
847,78565.2,60747.2,-15292.6
846,77681.1,59840.6,-15291.8
845,76820.2,58955.7,-15289.6
844,75981.8,58091.8,-15286
843,75165.3,57248.4,-15281
842,74370,56424.9,-15274.6
841,73595.3,55620.5,-15266.8
840,72840.7,54834.7,-15257.5
839,72105.6,54067.1,-15246.8
838,71389.5,53317,-15234.6
837,70691.9,52584,-15220.9
836,70012.4,51867.6,-15205.7
835,69350.4,51167.4,-15188.9
834,68705.6,50482.8,-15170.7
833,68077.5,49813.5,-15150.8
832,67465.7,49159.2,-15129.5
831,66869.9,48519.3,-15106.5
830,66289.6,47893.6,-15082
829,65724.4,47281.6,-15055.8
828,65174.2,46683.1,-15028.1
827,64638.4,46097.7,-14998.7
826,64116.9,45525.1,-14967.7
825,63609.2,44965,-14935
824,63115.1,44417.1,-14900.7
823,62634.4,43881.1,-14864.7
822,62166.6,43356.8,-14827.1
821,61711.6,42843.9,-14787.7
820,61269.2,42342.1,-14746.7
819,60838.9,41851.3,-14704
818,60420.7,41371.1,-14659.6
817,60014.2,40901.4,-14613.5
816,59619.3,40442,-14565.7
815,59235.7,39992.5,-14516.1
814,58863.2,39552.9,-14464.9
813,58501.5,39122.9,-14411.9
812,58150.6,38702.4,-14357.3
811,57810.1,38291.1,-14300.9
810,57480,37888.8,-14242.8
809,57159.9,37495.5,-14183
808,56849.8,37110.9,-14121.5
807,56549.4,36734.8,-14058.3
806,56258.5,36367.2,-13993.4
805,55977.1,36007.8,-13926.8
804,55704.8,35656.4,-13858.6
803,55441.6,35313,-13788.6
802,55187.3,34977.4,-13717
801,54941.7,34649.5,-13643.8
800,54704.6,34329,-13569
799,54476,34016,-13492.5
798,54255.6,33710.1,-13414.4
797,54043.3,33411.4,-13334.7
796,53839,33119.6,-13253.5
795,53642.4,32834.7,-13170.7
794,53453.5,32556.5,-13086.3
793,53272.2,32284.9,-13000.5
792,53098.2,32019.7,-12913.1
791,52931.4,31761,-12824.3
790,52771.7,31508.4,-12734
789,52619,31262,-12642.3
788,52473.1,31021.5,-12549.2
787,52333.8,30787,-12454.6
786,52201.2,30558.2,-12358.8
785,52074.9,30335.2,-12261.6
784,51955,30117.6,-12163.1
783,51841.2,29905.5,-12063.3
782,51733.4,29698.8,-11962.3
781,51631.6,29497.3,-11860
780,51535.5,29301,-11756.5
779,51445.1,29109.6,-11651.9
778,51360.3,28923.3,-11546.1
777,51280.9,28741.7,-11439.2
776,51206.8,28564.9,-11331.3
775,51137.9,28392.7,-11222.2
774,51074,28225.1,-11112.2
773,51015.2,28062,-11001.1
772,50961.2,27903.2,-10889
771,50911.9,27748.7,-10776.1
770,50867.3,27598.3,-10662.2
769,50827.2,27452.1,-10547.4
768,50791.8,27309.9,-10431.5
767,50760.5,27171.6,-10315.1
766,50733.4,27037.1,-10197.8
765,50710.4,26906.4,-10079.7
764,50691.5,26779.4,-9960.87
763,50676.5,26655.9,-9841.32
762,50665.3,26536,-9721.08
761,50657.9,26419.5,-9600.16
760,50654,26306.2,-9478.78
759,50653.8,26196.4,-9356.59
758,50657.1,26089.8,-9233.8
757,50663.8,25986.3,-9110.44
756,50673.8,25885.9,-8986.52
755,50687.1,25788.5,-8862.08
754,50703.5,25694,-8737.12
753,50723,25602.5,-8611.68
752,50745.5,25513.7,-8485.77
751,50770.9,25427.7,-8359.42
750,50799.2,25344.4,-8232.64
749,50830.2,25263.7,-8105.46
748,50864,25185.5,-7977.89
747,50900.4,25109.9,-7849.95
746,50939.4,25036.8,-7721.66
745,50981,24966,-7593.04
744,51024.9,24897.6,-7464.1
743,51071.3,24831.5,-7334.87
742,51120,24767.6,-7205.35
741,51171,24706,-7075.56
740,51224.2,24646.4,-6945.52
739,51279.6,24589,-6815.23
738,51337.1,24533.7,-6684.72
737,51396.7,24480.3,-6554
736,51458.2,24428.9,-6423.08
735,51521.8,24379.5,-6291.97
734,51587.2,24331.9,-6160.69
733,51654.5,24286.1,-6029.24
732,51723.6,24242.2,-5897.64
731,51794.5,24200,-5765.9
730,51867.2,24159.6,-5634.02
729,51941.5,24120.8,-5502.02
728,52017.5,24083.7,-5369.9
727,52095.1,24048.3,-5237.69
726,52174.3,24014.4,-5105.37
725,52255,23982,-4972.97
724,52337.3,23951.2,-4840.48
723,52421,23921.9,-4707.93
722,52506.1,23894.1,-4575.3
721,52592.6,23867.7,-4442.62
720,52680.5,23842.7,-4309.89
719,52769.8,23819,-4177.1
718,52860.3,23796.8,-4044.28
717,52952.2,23775.8,-3911.42
716,53045.3,23756.2,-3778.53
715,53139.6,23737.8,-3645.62
714,53235.1,23720.7,-3512.69
713,53331.7,23704.8,-3379.74
712,53429.6,23690.1,-3246.77
711,53528.5,23676.6,-3113.8
710,53628.6,23664.3,-2980.82
709,53729.7,23653.1,-2847.85
708,53831.9,23643.1,-2714.87
707,53935.1,23634.1,-2581.9
706,54039.3,23626.3,-2448.94
705,54144.5,23619.5,-2315.98
704,54250.7,23613.8,-2183.04
703,54357.8,23609,-2050.11
702,54465.9,23605.4,-1917.2
701,54574.8,23602.7,-1784.31
700,54684.7,23601,-1651.44
699,54795.5,23600.2,-1518.59
698,54907.1,23600.5,-1385.76
697,55019.6,23601.6,-1252.95
696,55132.9,23603.7,-1120.17
695,55247,23606.7,-987.42
694,55362,23610.6,-854.691
693,55477.7,23615.4,-721.989
692,55594.2,23621.1,-589.314
691,55711.5,23627.6,-456.667
690,55829.5,23635,-324.047
689,55948.2,23643.2,-191.454
688,56067.7,23652.3,-58.8889
687,56187.9,23662.2,73.6491
686,56308.8,23672.9,206.16
685,56430.4,23684.4,338.645
684,56552.7,23696.7,471.104
683,56675.7,23709.7,603.537
682,56799.3,23723.6,735.946
681,56923.5,23738.2,868.331
