Temp,Mo@liq,Si@liq,Ti@liq,Mo@motisi,Si@moti5si3,Ti@moti5si3
912,0.272313,0.0127183,0.714968,0.126087,0.37464,0.499274
911,0.272734,0.0125928,0.714673,0.126145,0.374642,0.499213
910,0.273152,0.012469,0.714379,0.126203,0.374644,0.499152
909,0.273566,0.0123469,0.714087,0.126262,0.374646,0.499092
908,0.273978,0.0122265,0.713796,0.12632,0.374649,0.499031
907,0.274386,0.0121077,0.713506,0.126378,0.374651,0.498971
906,0.274791,0.0119905,0.713218,0.126436,0.374653,0.498911
905,0.275194,0.0118749,0.712931,0.126495,0.374655,0.49885
904,0.275593,0.0117607,0.712646,0.126553,0.374657,0.49879
903,0.27599,0.0116481,0.712362,0.126611,0.374659,0.49873
902,0.276384,0.0115369,0.712079,0.126669,0.374662,0.49867
901,0.276776,0.0114271,0.711797,0.126727,0.374664,0.49861
900,0.277166,0.0113185,0.711516,0.126785,0.374666,0.498549
899,0.277553,0.0112114,0.711236,0.126843,0.374668,0.498489
898,0.277937,0.0111057,0.710957,0.126901,0.37467,0.498429
897,0.278319,0.0110012,0.71068,0.126958,0.374672,0.498369
896,0.278699,0.0108979,0.710403,0.127016,0.374674,0.498309
895,0.279076,0.0107959,0.710128,0.127074,0.374677,0.498249
894,0.279452,0.0106952,0.709853,0.127132,0.374679,0.49819
893,0.279825,0.0105955,0.70958,0.127189,0.374681,0.49813
892,0.280196,0.0104971,0.709307,0.127247,0.374683,0.49807
891,0.280565,0.0103998,0.709035,0.127305,0.374685,0.49801
890,0.280932,0.0103036,0.708764,0.127363,0.374687,0.497951
889,0.281297,0.0102085,0.708494,0.12742,0.374689,0.497891
888,0.281661,0.0101145,0.708225,0.127478,0.374691,0.497831
887,0.282022,0.0100215,0.707956,0.127535,0.374693,0.497772
886,0.282382,0.00992956,0.707689,0.127593,0.374695,0.497712
885,0.28274,0.00983863,0.707422,0.12765,0.374697,0.497653
884,0.283096,0.00974869,0.707156,0.127708,0.374699,0.497593
883,0.28345,0.00965973,0.70689,0.127765,0.374701,0.497534
882,0.283803,0.00957173,0.706625,0.127823,0.374703,0.497474
881,0.284154,0.00948467,0.706361,0.12788,0.374705,0.497415
880,0.284504,0.00939853,0.706098,0.127937,0.374707,0.497355
879,0.284852,0.00931331,0.705835,0.127995,0.374709,0.497296
878,0.285198,0.00922898,0.705573,0.128052,0.374711,0.497237
877,0.285544,0.00914553,0.705311,0.128109,0.374713,0.497178
876,0.285887,0.00906294,0.70505,0.128167,0.374715,0.497118
875,0.286229,0.0089812,0.70479,0.128224,0.374717,0.497059
874,0.28657,0.0089003,0.70453,0.128281,0.374719,0.497
873,0.286909,0.00882022,0.70427,0.128338,0.374721,0.496941
872,0.287248,0.00874095,0.704012,0.128396,0.374723,0.496882
871,0.287584,0.00866248,0.703753,0.128453,0.374725,0.496823
870,0.28792,0.00858479,0.703495,0.12851,0.374726,0.496763
869,0.288254,0.00850787,0.703238,0.128567,0.374728,0.496704
868,0.288587,0.00843171,0.702981,0.128624,0.37473,0.496645
867,0.288919,0.0083563,0.702725,0.128681,0.374732,0.496586
866,0.289249,0.00828163,0.702469,0.128739,0.374734,0.496527
865,0.289579,0.00820768,0.702214,0.128796,0.374736,0.496469
864,0.289907,0.00813445,0.701959,0.128853,0.374738,0.49641
863,0.290234,0.00806192,0.701704,0.12891,0.37474,0.496351
862,0.29056,0.00799009,0.70145,0.128967,0.374741,0.496292
861,0.290885,0.00791895,0.701196,0.129024,0.374743,0.496233
860,0.291209,0.00784847,0.700943,0.129081,0.374745,0.496174
859,0.291532,0.00777867,0.70069,0.129138,0.374747,0.496115
858,0.291854,0.00770952,0.700437,0.129195,0.374749,0.496057
857,0.292174,0.00764101,0.700185,0.129252,0.37475,0.495998
856,0.292494,0.00757315,0.699933,0.129309,0.374752,0.495939
855,0.292813,0.00750591,0.699681,0.129365,0.374754,0.495881
854,0.293131,0.0074393,0.69943,0.129422,0.374756,0.495822
853,0.293448,0.0073733,0.699178,0.129479,0.374758,0.495763
852,0.293764,0.0073079,0.698928,0.129536,0.374759,0.495705
851,0.29408,0.0072431,0.698677,0.129593,0.374761,0.495646
850,0.294394,0.00717889,0.698427,0.12965,0.374763,0.495587
849,0.294707,0.00711526,0.698177,0.129707,0.374765,0.495529
848,0.29502,0.00705221,0.697928,0.129763,0.374766,0.49547
