Temp,"HSN(Si,Ti)@moti5si3","HSN(Ti,Ti)@moti5si3","HSN(Si,Si)@moti5si3"
912,82688.3,304070,2.1167e+07
911,82689,304046,2.12779e+07
910,82689.6,304023,2.13897e+07
909,82690.3,303999,2.15025e+07
908,82690.9,303976,2.16163e+07
907,82691.6,303953,2.1731e+07
906,82692.2,303930,2.18467e+07
905,82692.8,303907,2.19634e+07
904,82693.5,303884,2.20811e+07
903,82694.1,303861,2.21998e+07
902,82694.8,303839,2.23196e+07
901,82695.4,303816,2.24404e+07
900,82696,303793,2.25622e+07
899,82696.6,303771,2.26851e+07
898,82697.2,303749,2.2809e+07
897,82697.8,303727,2.29341e+07
896,82698.4,303705,2.30602e+07
895,82699,303683,2.31875e+07
894,82699.6,303661,2.33159e+07
893,82700.1,303639,2.34454e+07
892,82700.7,303617,2.3576e+07
891,82701.3,303596,2.37078e+07
890,82701.8,303574,2.38408e+07
889,82702.4,303553,2.39749e+07
888,82702.9,303532,2.41103e+07
887,82703.4,303510,2.42469e+07
886,82704,303489,2.43846e+07
885,82704.5,303468,2.45237e+07
884,82705,303447,2.46639e+07
883,82705.5,303427,2.48055e+07
882,82706,303406,2.49483e+07
881,82706.4,303385,2.50924e+07
880,82706.9,303365,2.52378e+07
879,82707.3,303344,2.53846e+07
878,82707.8,303324,2.55327e+07
877,82708.2,303304,2.56821e+07
876,82708.6,303283,2.5833e+07
875,82709,303263,2.59852e+07
874,82709.4,303243,2.61388e+07
873,82709.8,303223,2.62939e+07
872,82710.1,303204,2.64503e+07
871,82710.5,303184,2.66083e+07
870,82710.8,303164,2.67677e+07
869,82711.1,303145,2.69286e+07
868,82711.4,303125,2.70911e+07
867,82711.7,303106,2.7255e+07
866,82712,303086,2.74205e+07
865,82712.3,303067,2.75876e+07
864,82712.5,303048,2.77563e+07
863,82712.8,303029,2.79266e+07
862,82713,303010,2.80985e+07
861,82713.2,302991,2.8272e+07
860,82713.4,302972,2.84473e+07
859,82713.6,302954,2.86242e+07
