Temp,"HSN(Si,Ti)@liq","HSN(Ti,Ti)@liquid","HSN(Si,Si)@liquid"
912,-46821.5,50153.7,372825
911,-46763.8,50105.7,377943
910,-46706.7,50057.9,383085
909,-46650.2,50010.1,388253
908,-46594.4,49962.5,393446
907,-46539.1,49914.9,398665
906,-46484.5,49867.4,403911
905,-46430.4,49820,409183
904,-46376.9,49772.7,414484
903,-46324,49725.5,419812
902,-46271.6,49678.3,425169
901,-46219.7,49631.3,430555
900,-46168.2,49584.3,435976
899,-46117.3,49537.4,441422
898,-46066.9,49490.5,446899
897,-46017,49443.8,452408
896,-45967.5,49397.1,457948
895,-45918.4,49350.5,463519
894,-45869.9,49304,469124
893,-45821.7,49257.5,474761
892,-45774,49211.1,480432
891,-45726.7,49164.7,486137
890,-45679.8,49118.5,491877
889,-45633.3,49072.3,497651
888,-45587.1,49026.1,503461
887,-45541.4,48980,509306
886,-45496,48934,515189
885,-45451,48888.1,521108
884,-45406.4,48842.2,527064
883,-45362.1,48796.3,533059
882,-45318.1,48750.5,539092
881,-45274.5,48704.8,545164
880,-45231.3,48659.1,551275
879,-45188.3,48613.5,557426
878,-45145.7,48567.9,563618
877,-45103.3,48522.4,569850
876,-45061.3,48476.9,576124
875,-45019.6,48431.5,582441
874,-44978.2,48386.1,588799
873,-44937.1,48340.8,595201
872,-44896.2,48295.5,601646
871,-44855.7,48250.3,608135
870,-44815.4,48205.2,614669
869,-44775.3,48160,621249
868,-44735.6,48114.9,627874
867,-44696.1,48069.9,634545
866,-44657,48024.9,641263
865,-44618,47979.9,648028
864,-44579.3,47935,654842
863,-44540.8,47890.1,661704
862,-44502.5,47845.3,668615
861,-44464.5,47800.6,675576
860,-44426.7,47755.8,682587
859,-44389.1,47711.1,689649
858,-44351.8,47666.5,696762
857,-44314.7,47621.9,703928
856,-44277.7,47577.3,711146
855,-44241.1,47532.8,718418
854,-44204.6,47488.3,725743
853,-44168.3,47443.8,733123
852,-44132.2,47399.4,740559
851,-44096.3,47355,748050
850,-44060.7,47310.7,755597
849,-44025.2,47266.4,763202
848,-43989.9,47222.1,770864
847,-43954.8,47177.8,778585
846,-43919.8,47133.6,786365
845,-43885.1,47089.5,794205
844,-43850.5,47045.4,802106
843,-43816.1,47001.3,810067
842,-43781.9,46957.2,818091
841,-43747.9,46913.2,826177
840,-43714,46869.2,834326
839,-43680.3,46825.2,842540
838,-43646.7,46781.3,850818
837,-43613.3,46737.4,859162
836,-43580.1,46693.5,867573
835,-43547,46649.7,876050
834,-43514.1,46605.9,884595
833,-43481.3,46562.2,893209
832,-43448.7,46518.4,901893
831,-43416.2,46474.7,910646
830,-43383.9,46431,919471
829,-43351.7,46387.4,928368
828,-43319.7,46343.8,937337
827,-43287.8,46300.2,946380
826,-43256,46256.7,955497
825,-43224.4,46213.1,964690
824,-43192.9,46169.6,973959
823,-43161.5,46126.2,983304
822,-43130.2,46082.7,992728
821,-43099.1,46039.3,1.00223e+06
820,-43068.1,45996,1.01181e+06
819,-43037.3,45952.6,1.02148e+06
818,-43006.5,45909.3,1.03122e+06
817,-42975.9,45866,1.04105e+06
816,-42945.4,45822.7,1.05096e+06
815,-42915,45779.5,1.06095e+06
814,-42884.7,45736.3,1.07103e+06
813,-42854.6,45693.1,1.0812e+06
812,-42824.5,45650,1.09146e+06
811,-42794.6,45606.8,1.1018e+06
810,-42764.7,45563.7,1.11223e+06
809,-42735,45520.7,1.12276e+06
808,-42705.4,45477.6,1.13337e+06
807,-42675.9,45434.6,1.14408e+06
806,-42646.5,45391.6,1.15488e+06
805,-42617.2,45348.6,1.16578e+06
804,-42588,45305.7,1.17677e+06
803,-42558.9,45262.8,1.18786e+06
802,-42529.8,45219.9,1.19905e+06
801,-42500.9,45177,1.21034e+06
800,-42472.1,45134.2,1.22173e+06
799,-42443.4,45091.4,1.23322e+06
798,-42414.7,45048.6,1.24482e+06
797,-42386.2,45005.8,1.25652e+06
796,-42357.7,44963.1,1.26832e+06
795,-42329.4,44920.4,1.28023e+06
794,-42301.1,44877.7,1.29225e+06
793,-42272.9,44835,1.30438e+06
792,-42244.8,44792.4,1.31662e+06
791,-42216.7,44749.8,1.32898e+06
790,-42188.8,44707.2,1.34145e+06
789,-42160.9,44664.6,1.35403e+06
788,-42133.1,44622.1,1.36673e+06
787,-42105.4,44579.6,1.37954e+06
786,-42077.8,44537.1,1.39248e+06
785,-42050.2,44494.6,1.40554e+06
784,-42022.8,44452.2,1.41871e+06
783,-41995.4,44409.7,1.43202e+06
782,-41968,44367.3,1.44545e+06
781,-41940.8,44325,1.459e+06
780,-41913.6,44282.6,1.47268e+06
779,-41886.5,44240.3,1.4865e+06
778,-41859.4,44198,1.50044e+06
777,-41832.4,44155.7,1.51452e+06
776,-41805.5,44113.5,1.52873e+06
775,-41778.7,44071.2,1.54308e+06
774,-41751.9,44029,1.55757e+06
773,-41725.2,43986.8,1.5722e+06
772,-41698.5,43944.7,1.58697e+06
771,-41672,43902.5,1.60188e+06
770,-41645.4,43860.4,1.61694e+06
769,-41619,43818.3,1.63215e+06
768,-41592.6,43776.2,1.64751e+06
767,-41566.2,43734.2,1.66301e+06
766,-41539.9,43692.1,1.67867e+06
765,-41513.7,43650.1,1.69449e+06
764,-41487.5,43608.1,1.71046e+06
763,-41461.4,43566.2,1.72659e+06
762,-41435.3,43524.2,1.74288e+06
761,-41409.3,43482.3,1.75933e+06
760,-41383.4,43440.4,1.77595e+06
759,-41357.5,43398.6,1.79274e+06
758,-41331.6,43356.7,1.8097e+06
757,-41305.8,43314.9,1.82682e+06
