Temp,Mo@liq,Si@liq,Ti@liq,Mo@bcc,Si@bcc,Ti@bcc
483,0.404578,6.34952e-05,0.595358,0.00253983,0.159846,0.837614
482,0.404934,6.2124e-05,0.595004,0.00251165,0.159887,0.837601
481,0.40529,6.07769e-05,0.594649,0.00248366,0.159928,0.837588
480,0.405647,5.94536e-05,0.594294,0.00245587,0.159969,0.837575
479,0.406004,5.81538e-05,0.593938,0.00242828,0.16001,0.837562
478,0.406362,5.68772e-05,0.593582,0.00240089,0.160051,0.837548
477,0.40672,5.56235e-05,0.593225,0.00237369,0.160092,0.837535
476,0.407079,5.43923e-05,0.592867,0.00234669,0.160132,0.837521
475,0.407438,5.31834e-05,0.592509,0.00231988,0.160173,0.837507
474,0.407798,5.19964e-05,0.59215,0.00229327,0.160213,0.837493
473,0.408158,5.08311e-05,0.591791,0.00226686,0.160254,0.837479
472,0.408519,4.96871e-05,0.591431,0.00224064,0.160294,0.837465
471,0.40888,4.85643e-05,0.591071,0.00221461,0.160334,0.837451
470,0.409242,4.74622e-05,0.59071,0.00218878,0.160374,0.837437
469,0.409605,4.63806e-05,0.590349,0.00216314,0.160414,0.837422
468,0.409968,4.53191e-05,0.589987,0.00213769,0.160454,0.837408
467,0.410331,4.42776e-05,0.589624,0.00211244,0.160494,0.837393
466,0.410695,4.32558e-05,0.589261,0.00208738,0.160534,0.837379
465,0.41106,4.22533e-05,0.588898,0.00206251,0.160574,0.837364
464,0.411425,4.12698e-05,0.588534,0.00203783,0.160613,0.837349
463,0.411791,4.03052e-05,0.588169,0.00201335,0.160653,0.837334
462,0.412157,3.93591e-05,0.587803,0.00198905,0.160692,0.837319
461,0.412524,3.84313e-05,0.587438,0.00196495,0.160732,0.837303
460,0.412891,3.75214e-05,0.587071,0.00194103,0.160771,0.837288
459,0.413259,3.66293e-05,0.586704,0.0019173,0.16081,0.837272
458,0.413628,3.57546e-05,0.586337,0.00189376,0.160849,0.837257
457,0.413997,3.48972e-05,0.585969,0.00187041,0.160889,0.837241
456,0.414366,3.40567e-05,0.5856,0.00184725,0.160928,0.837225
455,0.414736,3.32329e-05,0.585231,0.00182427,0.160966,0.837209
454,0.415107,3.24255e-05,0.584861,0.00180148,0.161005,0.837193
453,0.415478,3.16343e-05,0.58449,0.00177888,0.161044,0.837177
452,0.41585,3.08591e-05,0.584119,0.00175646,0.161083,0.837161
451,0.416222,3.00995e-05,0.583748,0.00173422,0.161121,0.837145
450,0.416595,2.93554e-05,0.583376,0.00171217,0.16116,0.837128
449,0.416968,2.86266e-05,0.583003,0.00169031,0.161198,0.837112
448,0.417342,2.79126e-05,0.58263,0.00166863,0.161236,0.837095
447,0.417717,2.72135e-05,0.582256,0.00164713,0.161275,0.837078
446,0.418092,2.65288e-05,0.581882,0.00162581,0.161313,0.837061
445,0.418467,2.58584e-05,0.581507,0.00160468,0.161351,0.837044
444,0.418843,2.52021e-05,0.581131,0.00158373,0.161389,0.837027
443,0.41922,2.45595e-05,0.580755,0.00156295,0.161427,0.83701
442,0.419597,2.39306e-05,0.580379,0.00154236,0.161465,0.836993
441,0.419975,2.3315e-05,0.580002,0.00152195,0.161503,0.836975
440,0.420354,2.27126e-05,0.579624,0.00150172,0.16154,0.836958
439,0.420733,2.21231e-05,0.579245,0.00148166,0.161578,0.83694
438,0.421112,2.15463e-05,0.578866,0.00146178,0.161615,0.836923
437,0.421492,2.09821e-05,0.578487,0.00144208,0.161653,0.836905
436,0.421873,2.04301e-05,0.578107,0.00142256,0.16169,0.836887
435,0.422254,1.98902e-05,0.577726,0.00140322,0.161728,0.836869
434,0.422636,1.93622e-05,0.577345,0.00138404,0.161765,0.836851
433,0.423018,1.88459e-05,0.576963,0.00136505,0.161802,0.836833
432,0.423401,1.83411e-05,0.576581,0.00134623,0.161839,0.836815
431,0.423785,1.78475e-05,0.576198,0.00132758,0.161876,0.836796
430,0.424169,1.7365e-05,0.575814,0.0013091,0.161913,0.836778
429,0.424553,1.68935e-05,0.57543,0.0012908,0.16195,0.836759
428,0.424939,1.64326e-05,0.575045,0.00127267,0.161987,0.836741
427,0.425324,1.59822e-05,0.57466,0.00125471,0.162024,0.836722
426,0.425711,1.55421e-05,0.574274,0.00123692,0.16206,0.836703
425,0.426098,1.51122e-05,0.573887,0.0012193,0.162097,0.836684
424,0.426485,1.46923e-05,0.5735,0.00120185,0.162133,0.836665
423,0.426873,1.42821e-05,0.573112,0.00118457,0.16217,0.836646
422,0.427262,1.38815e-05,0.572724,0.00116746,0.162206,0.836627
421,0.427651,1.34903e-05,0.572335,0.00115051,0.162242,0.836607
420,0.428041,1.31083e-05,0.571946,0.00113373,0.162278,0.836588
419,0.428431,1.27355e-05,0.571556,0.00111712,0.162315,0.836568
418,0.428822,1.23715e-05,0.571165,0.00110067,0.162351,0.836549
417,0.429214,1.20163e-05,0.570774,0.00108439,0.162387,0.836529
416,0.429606,1.16696e-05,0.570382,0.00106827,0.162423,0.836509
415,0.429999,1.13314e-05,0.56999,0.00105231,0.162458,0.836489
414,0.430392,1.10014e-05,0.569597,0.00103651,0.162494,0.836469
413,0.430786,1.06795e-05,0.569203,0.00102088,0.16253,0.836449
412,0.431181,1.03655e-05,0.568809,0.00100541,0.162566,0.836429
411,0.431576,1.00593e-05,0.568414,0.0009901,0.162601,0.836409
410,0.431971,9.76066e-06,0.568019,0.000974949,0.162637,0.836388
409,0.432368,9.46954e-06,0.567623,0.000959957,0.162672,0.836368
