Temp,Mo@liq,Si@liq,Ti@liq,Mo@motisi,Si@moti5si3,Ti@moti5si3
483,0.404578,6.34952e-05,0.595358,0.150232,0.374998,0.47477
482,0.404934,6.2124e-05,0.595004,0.150286,0.374998,0.474715
481,0.40529,6.07769e-05,0.594649,0.150341,0.374998,0.474661
480,0.405647,5.94536e-05,0.594294,0.150396,0.374998,0.474606
479,0.406004,5.81538e-05,0.593938,0.15045,0.374998,0.474551
478,0.406362,5.68772e-05,0.593582,0.150505,0.374998,0.474497
477,0.40672,5.56235e-05,0.593225,0.15056,0.374998,0.474442
476,0.407079,5.43923e-05,0.592867,0.150614,0.374998,0.474387
475,0.407438,5.31834e-05,0.592509,0.150669,0.374999,0.474333
474,0.407798,5.19964e-05,0.59215,0.150723,0.374999,0.474278
473,0.408158,5.08311e-05,0.591791,0.150778,0.374999,0.474223
472,0.408519,4.96871e-05,0.591431,0.150832,0.374999,0.474169
471,0.40888,4.85643e-05,0.591071,0.150887,0.374999,0.474114
470,0.409242,4.74622e-05,0.59071,0.150941,0.374999,0.47406
469,0.409605,4.63806e-05,0.590349,0.150996,0.374999,0.474005
468,0.409968,4.53191e-05,0.589987,0.15105,0.374999,0.473951
467,0.410331,4.42776e-05,0.589624,0.151105,0.374999,0.473896
466,0.410695,4.32558e-05,0.589261,0.151159,0.374999,0.473842
465,0.41106,4.22533e-05,0.588898,0.151214,0.374999,0.473787
464,0.411425,4.12698e-05,0.588534,0.151268,0.374999,0.473733
463,0.411791,4.03052e-05,0.588169,0.151322,0.374999,0.473679
462,0.412157,3.93591e-05,0.587803,0.151377,0.374999,0.473624
461,0.412524,3.84313e-05,0.587438,0.151431,0.374999,0.47357
460,0.412891,3.75214e-05,0.587071,0.151485,0.374999,0.473516
459,0.413259,3.66293e-05,0.586704,0.15154,0.374999,0.473461
458,0.413628,3.57546e-05,0.586337,0.151594,0.374999,0.473407
457,0.413997,3.48972e-05,0.585969,0.151648,0.374999,0.473353
456,0.414366,3.40567e-05,0.5856,0.151702,0.374999,0.473299
455,0.414736,3.32329e-05,0.585231,0.151757,0.374999,0.473244
454,0.415107,3.24255e-05,0.584861,0.151811,0.374999,0.47319
453,0.415478,3.16343e-05,0.58449,0.151865,0.374999,0.473136
452,0.41585,3.08591e-05,0.584119,0.151919,0.374999,0.473082
451,0.416222,3.00995e-05,0.583748,0.151973,0.374999,0.473028
450,0.416595,2.93554e-05,0.583376,0.152027,0.374999,0.472974
449,0.416968,2.86266e-05,0.583003,0.152081,0.374999,0.472919
448,0.417342,2.79126e-05,0.58263,0.152135,0.374999,0.472865
447,0.417717,2.72135e-05,0.582256,0.152189,0.374999,0.472811
446,0.418092,2.65288e-05,0.581882,0.152243,0.374999,0.472757
445,0.418467,2.58584e-05,0.581507,0.152297,0.374999,0.472703
444,0.418843,2.52021e-05,0.581131,0.152351,0.374999,0.472649
443,0.41922,2.45595e-05,0.580755,0.152405,0.374999,0.472595
442,0.419597,2.39306e-05,0.580379,0.152459,0.374999,0.472541
441,0.419975,2.3315e-05,0.580002,0.152513,0.374999,0.472487
440,0.420354,2.27126e-05,0.579624,0.152567,0.374999,0.472434
439,0.420733,2.21231e-05,0.579245,0.152621,0.374999,0.47238
438,0.421112,2.15463e-05,0.578866,0.152675,0.374999,0.472326
437,0.421492,2.09821e-05,0.578487,0.152729,0.374999,0.472272
436,0.421873,2.04301e-05,0.578107,0.152782,0.374999,0.472218
435,0.422254,1.98902e-05,0.577726,0.152836,0.374999,0.472164
434,0.422636,1.93622e-05,0.577345,0.15289,0.375,0.472111
433,0.423018,1.88459e-05,0.576963,0.152944,0.375,0.472057
432,0.423401,1.83411e-05,0.576581,0.152997,0.375,0.472003
431,0.423785,1.78475e-05,0.576198,0.153051,0.375,0.471949
430,0.424169,1.7365e-05,0.575814,0.153105,0.375,0.471896
429,0.424553,1.68935e-05,0.57543,0.153158,0.375,0.471842
