Temp,"HSN(Si,Ti)@liq","HSN(Ti,Ti)@liquid","HSN(Si,Si)@liquid"
483,-34509.2,32731,2.38131e+08
482,-34481.9,32696,2.39441e+08
481,-34454.6,32661,2.40741e+08
480,-34427.2,32626.1,2.42028e+08
479,-34399.8,32591.1,2.43304e+08
478,-34372.4,32556.2,2.44568e+08
477,-34345,32521.4,2.4582e+08
476,-34317.5,32486.5,2.47059e+08
475,-34290,32451.7,2.48284e+08
474,-34262.5,32417,2.49496e+08
473,-34235,32382.2,2.50694e+08
472,-34207.4,32347.5,2.51877e+08
471,-34179.8,32312.8,2.53046e+08
470,-34152.1,32278.1,2.542e+08
469,-34124.5,32243.5,2.55339e+08
468,-34096.8,32208.9,2.56462e+08
467,-34069.1,32174.3,2.57569e+08
466,-34041.3,32139.8,2.5866e+08
465,-34013.5,32105.3,2.59734e+08
464,-33985.7,32070.8,2.60791e+08
463,-33957.9,32036.3,2.61832e+08
462,-33930,32001.9,2.62855e+08
461,-33902.1,31967.5,2.6386e+08
460,-33874.2,31933.1,2.64847e+08
459,-33846.3,31898.8,2.65816e+08
458,-33818.3,31864.5,2.66767e+08
457,-33790.3,31830.2,2.67699e+08
456,-33762.3,31796,2.68612e+08
455,-33734.2,31761.7,2.69507e+08
454,-33706.1,31727.5,2.70382e+08
453,-33678,31693.4,2.71237e+08
452,-33649.9,31659.3,2.72073e+08
451,-33621.7,31625.1,2.72889e+08
450,-33593.5,31591.1,2.73685e+08
449,-33565.3,31557,2.74462e+08
448,-33537.1,31523,2.75218e+08
447,-33508.8,31489,2.75953e+08
446,-33480.5,31455.1,2.76669e+08
445,-33452.2,31421.1,2.77363e+08
444,-33423.8,31387.2,2.78038e+08
443,-33395.5,31353.4,2.78691e+08
442,-33367.1,31319.5,2.79324e+08
441,-33338.6,31285.7,2.79936e+08
440,-33310.2,31251.9,2.80527e+08
439,-33281.7,31218.2,2.81097e+08
438,-33253.2,31184.4,2.81647e+08
437,-33224.7,31150.8,2.82175e+08
436,-33196.1,31117.1,2.82683e+08
435,-33167.5,31083.4,2.8317e+08
434,-33138.9,31049.8,2.83636e+08
433,-33110.3,31016.3,2.84081e+08
