Temp,"HSN(Si,Ti)@moti5si3","HSN(Ti,Ti)@moti5si3","HSN(Si,Si)@moti5si3"
483,194699,300475,2.78643e+09
482,194711,300478,2.7879e+09
481,194711,300478,2.7879e+09
480,194737,300486,2.79082e+09
479,194737,300486,2.79082e+09
478,194737,300486,2.79082e+09
477,194774,300497,2.7952e+09
476,194787,300500,2.79666e+09
475,194799,300504,2.79813e+09
474,194812,300508,2.79959e+09
473,194828,300512,2.80105e+09
472,194837,300516,2.80251e+09
471,194837,300516,2.80251e+09
470,194837,300516,2.80251e+09
469,194837,300516,2.80251e+09
468,194837,300516,2.80251e+09
467,194837,300516,2.80251e+09
466,194837,300516,2.80251e+09
465,194837,300516,2.80251e+09
464,194837,300516,2.80251e+09
463,194837,300516,2.80251e+09
462,194837,300516,2.80251e+09
461,194837,300516,2.80251e+09
460,194837,300516,2.80251e+09
459,194837,300516,2.80251e+09
458,194837,300516,2.80251e+09
457,194837,300516,2.80251e+09
456,194837,300516,2.80251e+09
455,194837,300516,2.80251e+09
454,194837,300516,2.80251e+09
453,194837,300516,2.80251e+09
452,194837,300516,2.80251e+09
451,194837,300516,2.80251e+09
450,194837,300516,2.80251e+09
449,194837,300516,2.80251e+09
448,194837,300516,2.80251e+09
447,195159,300629,2.83902e+09
446,195172,300635,2.84048e+09
445,195185,300640,2.84194e+09
444,195198,300645,2.8434e+09
443,195198,300645,2.8434e+09
442,195225,300655,2.84632e+09
441,195238,300661,2.84778e+09
440,195251,300666,2.84924e+09
439,195264,300672,2.8507e+09
438,195264,300672,2.8507e+09
437,195291,300683,2.85362e+09
436,195291,300683,2.85362e+09
435,195291,300683,2.85362e+09
434,195291,300683,2.85362e+09
433,195291,300683,2.85362e+09
432,195291,300683,2.85362e+09
431,195291,300683,2.85362e+09
430,195291,300683,2.85362e+09
429,195291,300683,2.85362e+09
428,195291,300683,2.85362e+09
427,195291,300683,2.85362e+09
426,195291,300683,2.85362e+09
425,195291,300683,2.85362e+09
424,195291,300683,2.85362e+09
423,195291,300683,2.85362e+09
422,195291,300683,2.85362e+09
421,195291,300683,2.85362e+09
420,195291,300683,2.85362e+09
419,195291,300683,2.85362e+09
418,195291,300683,2.85362e+09
417,195291,300683,2.85362e+09
416,195291,300683,2.85362e+09
415,195291,300683,2.85362e+09
414,195291,300683,2.85362e+09
413,195291,300683,2.85362e+09
412,195291,300683,2.85362e+09
411,195291,300683,2.85362e+09
410,195291,300683,2.85362e+09
409,195291,300683,2.85362e+09
408,195291,300683,2.85362e+09
407,195291,300683,2.85362e+09
406,195291,300683,2.85362e+09
