Temp,Ni@liq,Al@liq,Mo@liq,Ni@fcc,Al@fcc,Mo@fcc
1669,0.799706,0.170146,0.0301473,0.83014,0.154976,0.0148841
1668,0.798461,0.170757,0.0307825,0.829299,0.155594,0.0151067
1667,0.79723,0.171343,0.0314268,0.828475,0.156193,0.0153314
1666,0.796015,0.171905,0.0320802,0.827668,0.156774,0.0155582
1665,0.794813,0.172444,0.0327428,0.826877,0.157336,0.0157869
1664,0.793626,0.172959,0.0334145,0.826101,0.157881,0.0160177
1663,0.792452,0.173453,0.0340954,0.825341,0.158409,0.0162505
1662,0.791291,0.173924,0.0347855,0.824596,0.158919,0.0164852
1661,0.790142,0.174373,0.0354848,0.823865,0.159413,0.0167219
1660,0.789006,0.174801,0.0361932,0.823148,0.159891,0.0169604
1659,0.787881,0.175209,0.0369108,0.822446,0.160353,0.0172007
1658,0.786767,0.175596,0.0376376,0.821757,0.1608,0.0174429
1657,0.785664,0.175962,0.0383735,0.821081,0.161232,0.0176868
1656,0.784572,0.17631,0.0391185,0.820418,0.161649,0.0179325
1655,0.78349,0.176638,0.0398725,0.819768,0.162052,0.0181798
1654,0.782417,0.176947,0.0406356,0.81913,0.162442,0.0184287
1653,0.781354,0.177238,0.0414076,0.818504,0.162817,0.0186793
1652,0.780301,0.177511,0.0421886,0.817889,0.163179,0.0189313
1651,0.779256,0.177766,0.0429784,0.817287,0.163529,0.0191849
1650,0.778219,0.178004,0.0437771,0.816695,0.163865,0.0194399
1649,0.777191,0.178224,0.0445846,0.816114,0.16419,0.0196963
1648,0.776171,0.178428,0.0454007,0.815544,0.164502,0.019954
1647,0.775158,0.178616,0.0462255,0.814984,0.164803,0.020213
1646,0.774153,0.178788,0.0470588,0.814435,0.165092,0.0204732
1645,0.773155,0.178944,0.0479006,0.813895,0.16537,0.0207346
1644,0.772164,0.179085,0.0487508,0.813365,0.165638,0.0209971
1643,0.77118,0.179211,0.0496094,0.812844,0.165895,0.0212607
1642,0.770202,0.179322,0.0504762,0.812333,0.166142,0.0215253
1641,0.76923,0.179419,0.0513511,0.811831,0.166378,0.0217909
1640,0.768264,0.179502,0.0522341,0.811337,0.166606,0.0220573
1639,0.767303,0.179572,0.0531251,0.810852,0.166823,0.0223247
1638,0.766349,0.179627,0.054024,0.810376,0.167032,0.0225928
1637,0.765399,0.17967,0.0549307,0.809907,0.167231,0.0228617
1636,0.764455,0.1797,0.0558451,0.809447,0.167422,0.0231312
1635,0.763515,0.179717,0.056767,0.808994,0.167604,0.0234015
1634,0.762581,0.179723,0.0576965,0.808549,0.167779,0.0236723
1633,0.761651,0.179716,0.0586334,0.808111,0.167945,0.0239436
1632,0.760725,0.179697,0.0595776,0.807681,0.168103,0.0242154
1631,0.759804,0.179667,0.060529,0.807258,0.168254,0.0244877
1630,0.758886,0.179626,0.0614874,0.806842,0.168398,0.0247603
1629,0.757973,0.179574,0.0624529,0.806432,0.168535,0.0250333
1628,0.757063,0.179512,0.0634252,0.806029,0.168664,0.0253066
1627,0.756157,0.179439,0.0644043,0.805633,0.168787,0.0255801
1626,0.755254,0.179356,0.0653901,0.805242,0.168904,0.0258538
1625,0.754355,0.179263,0.0663825,0.804858,0.169014,0.0261277
1624,0.753459,0.17916,0.0673812,0.80448,0.169118,0.0264016
1623,0.752566,0.179048,0.0683864,0.804108,0.169216,0.0266757
1622,0.751676,0.178927,0.0693977,0.803741,0.169309,0.0269497
1621,0.750788,0.178796,0.0704152,0.80338,0.169396,0.0272238
1620,0.749904,0.178657,0.0714387,0.803025,0.169477,0.0274977
1619,0.749022,0.17851,0.0724681,0.802675,0.169553,0.0277716
1618,0.748143,0.178354,0.0735033,0.80233,0.169625,0.0280453
1617,0.747266,0.17819,0.0745442,0.80199,0.169691,0.0283188
1616,0.746391,0.178018,0.0755907,0.801655,0.169752,0.0285921
1615,0.745519,0.177838,0.0766426,0.801326,0.169809,0.0288652
1614,0.744649,0.177651,0.0776998,0.801,0.169862,0.0291379
1613,0.743781,0.177457,0.0787623,0.80068,0.16991,0.0294104
1612,0.742915,0.177255,0.0798299,0.800364,0.169954,0.0296825
1611,0.74205,0.177047,0.0809025,0.800052,0.169994,0.0299541
