Temp,"HSN(Al,Al)@fcc","HSN(Mo,Mo)@fcc","HSN(Al,Mo)@fcc"
1669,347212,985091,222549
1668,347682,970502,222551
1667,348140,956209,222550
1666,348584,942207,222547
1665,349017,928491,222541
1664,349437,915054,222533
1663,349846,901891,222522
1662,350243,888997,222509
1661,350629,876366,222494
1660,351003,863994,222476
1659,351367,851875,222457
1658,351719,840005,222436
1657,352062,828379,222413
1656,352394,816992,222388
1655,352715,805840,222361
1654,353027,794917,222333
1653,353330,784220,222304
1652,353623,773744,222273
1651,353907,763485,222240
1650,354182,753438,222207
1649,354448,743600,222172
1648,354706,733965,222135
1647,354955,724530,222098
1646,355197,715291,222060
1645,355430,706244,222020
1644,355656,697384,221979
1643,355874,688709,221938
1642,356085,680213,221896
1641,356288,671893,221852
1640,356485,663746,221808
1639,356675,655768,221763
1638,356859,647955,221718
1637,357036,640303,221672
1636,357207,632810,221625
1635,357372,625471,221577
1634,357531,618282,221529
1633,357685,611242,221480
1632,357833,604346,221431
1631,357975,597591,221382
1630,358113,590975,221332
1629,358245,584493,221281
1628,358373,578143,221230
1627,358495,571921,221179
1626,358613,565826,221127
1625,358727,559853,221075
1624,358836,554000,221023
1623,358942,548265,220971
1622,359043,542644,220918
1621,359140,537136,220865
1620,359233,531736,220812
1619,359323,526443,220759
1618,359409,521254,220705
1617,359492,516168,220651
1616,359571,511180,220598
1615,359647,506290,220544
1614,359720,501494,220490
1613,359790,496790,220436
1612,359857,492178,220382
1611,359921,487653,220327
