Temp,"HSN(Al,Al)@liq","HSN(Mo,Mo)@liquid","HSN(Al,Mo)@liquid"
1669,299620,483330,144932
1668,299983,473529,144888
1667,300334,464000,144842
1666,300673,454734,144794
1665,301000,445724,144743
1664,301316,436961,144690
1663,301619,428438,144634
1662,301911,420148,144576
1661,302193,412083,144515
1660,302462,404238,144452
1659,302722,396604,144387
1658,302970,389177,144320
1657,303208,381950,144250
1656,303436,374918,144178
1655,303653,368074,144104
1654,303861,361413,144028
1653,304059,354930,143950
1652,304248,348619,143870
1651,304427,342477,143788
1650,304598,336497,143703
1649,304759,330675,143617
1648,304912,325008,143529
1647,305056,319489,143439
1646,305192,314116,143347
1645,305321,308883,143253
1644,305441,303788,143157
1643,305553,298825,143059
1642,305658,293992,142960
1641,305756,289284,142858
1640,305847,284698,142755
1639,305931,280230,142650
1638,306008,275878,142544
1637,306078,271638,142435
1636,306143,267506,142325
1635,306201,263480,142214
1634,306253,259556,142100
1633,306300,255732,141985
1632,306340,252005,141869
1631,306376,248372,141751
1630,306406,244831,141631
1629,306431,241378,141510
1628,306452,238012,141387
1627,306467,234730,141262
1626,306478,231530,141137
1625,306485,228409,141009
1624,306487,225365,140880
1623,306485,222396,140750
1622,306479,219499,140619
1621,306470,216674,140486
1620,306457,213918,140351
1619,306440,211228,140215
1618,306420,208604,140078
1617,306397,206043,139940
1616,306371,203543,139800
1615,306341,201104,139659
1614,306309,198723,139517
1613,306275,196398,139373
1612,306238,194128,139228
1611,306198,191913,139082
