Temp,Ni@liq,Al@liq,Re@liq,Ni@fcc,Al@fcc,Re@fcc
1831,0.80007,0.100144,0.0997857,0.775936,0.050673,0.173391
1830,0.800433,0.100901,0.0986654,0.776567,0.0512811,0.172151
1829,0.800785,0.101656,0.0975587,0.777191,0.0518931,0.170916
1828,0.801126,0.102409,0.0964656,0.777806,0.0525092,0.169685
1827,0.801455,0.103159,0.0953858,0.778412,0.0531293,0.168459
1826,0.801774,0.103908,0.0943189,0.77901,0.0537536,0.167236
1825,0.802081,0.104654,0.0932648,0.7796,0.0543819,0.166018
1824,0.802378,0.105398,0.0922232,0.780182,0.0550145,0.164804
1823,0.802665,0.106141,0.0911939,0.780755,0.0556512,0.163593
1822,0.802941,0.106882,0.0901767,0.781321,0.0562923,0.162387
1821,0.803207,0.107621,0.0891713,0.781878,0.0569376,0.161184
1820,0.803463,0.108359,0.0881776,0.782428,0.0575873,0.159985
1819,0.803709,0.109095,0.0871953,0.78297,0.0582414,0.158789
1818,0.803946,0.10983,0.0862242,0.783503,0.0588999,0.157597
1817,0.804172,0.110564,0.0852641,0.784029,0.0595629,0.156408
1816,0.804389,0.111296,0.084315,0.784547,0.0602304,0.155222
1815,0.804596,0.112027,0.0833764,0.785058,0.0609025,0.15404
1814,0.804794,0.112757,0.0824484,0.78556,0.0615791,0.152861
1813,0.804983,0.113486,0.0815307,0.786055,0.0622604,0.151684
1812,0.805163,0.114214,0.0806231,0.786542,0.0629463,0.150512
1811,0.805333,0.114942,0.0797256,0.787022,0.0636369,0.149342
1810,0.805494,0.115668,0.0788378,0.787493,0.0643322,0.148175
1809,0.805646,0.116394,0.0779598,0.787957,0.0650322,0.147011
1808,0.805789,0.117119,0.0770913,0.788413,0.0657371,0.14585
1807,0.805924,0.117844,0.0762322,0.788862,0.0664468,0.144692
1806,0.806049,0.118569,0.0753823,0.789302,0.0671613,0.143536
1805,0.806166,0.119293,0.0745416,0.789735,0.0678807,0.142384
1804,0.806273,0.120017,0.0737098,0.790161,0.068605,0.141234
1803,0.806373,0.120741,0.0728869,0.790578,0.0693342,0.140088
1802,0.806463,0.121464,0.0720728,0.790988,0.0700684,0.138944
1801,0.806545,0.122188,0.0712673,0.791389,0.0708075,0.137803
1800,0.806618,0.122912,0.0704703,0.791783,0.0715517,0.136665
1799,0.806682,0.123636,0.0696817,0.792169,0.0723009,0.13553
1798,0.806738,0.124361,0.0689014,0.792547,0.0730551,0.134398
1797,0.806785,0.125086,0.0681293,0.792917,0.0738144,0.133268
1796,0.806824,0.125811,0.0673653,0.793279,0.0745788,0.132142
1795,0.806854,0.126537,0.0666093,0.793633,0.0753483,0.131019
1794,0.806875,0.127264,0.0658612,0.793979,0.076123,0.129898
1793,0.806888,0.127991,0.065121,0.794316,0.0769028,0.128781
1792,0.806892,0.128719,0.0643885,0.794646,0.0776877,0.127667
1791,0.806888,0.129449,0.0636637,0.794966,0.0784779,0.126556
1790,0.806874,0.130179,0.0629464,0.795279,0.0792732,0.125448
1789,0.806852,0.130911,0.0622367,0.795583,0.0800737,0.124344
1788,0.806822,0.131644,0.0615345,0.795878,0.0808794,0.123242
1787,0.806782,0.132378,0.0608396,0.796165,0.0816904,0.122145
1786,0.806734,0.133114,0.0601521,0.796443,0.0825066,0.121051
1785,0.806677,0.133852,0.0594718,0.796712,0.083328,0.11996
1784,0.80661,0.134591,0.0587987,0.796972,0.0841547,0.118873
1783,0.806535,0.135332,0.0581328,0.797223,0.0849867,0.11779
1782,0.806451,0.136075,0.057474,0.797465,0.0858238,0.116711
1781,0.806358,0.13682,0.0568223,0.797698,0.0866663,0.115636
1780,0.806255,0.137567,0.0561776,0.797921,0.087514,0.114565
1779,0.806144,0.138317,0.0555399,0.798135,0.0883669,0.113498
1778,0.806022,0.139068,0.0549091,0.798339,0.0892251,0.112436
1777,0.805892,0.139823,0.0542853,0.798534,0.0900886,0.111378
1776,0.805752,0.14058,0.0536683,0.798718,0.0909573,0.110324
1775,0.805602,0.141339,0.0530583,0.798893,0.0918312,0.109276
1774,0.805443,0.142102,0.052455,0.799058,0.0927103,0.108232
1773,0.805274,0.142867,0.0518586,0.799212,0.0935947,0.107193
1772,0.805095,0.143636,0.051269,0.799356,0.0944842,0.10616
1771,0.804906,0.144408,0.0506861,0.799489,0.0953789,0.105132
1770,0.804707,0.145183,0.0501101,0.799612,0.0962787,0.104109
1769,0.804498,0.145961,0.0495408,0.799724,0.0971837,0.103092
1768,0.804278,0.146743,0.0489783,0.799826,0.0980937,0.102081
1767,0.804049,0.147529,0.0484225,0.799916,0.0990088,0.101076
1766,0.803808,0.148318,0.0478735,0.799994,0.099929,0.100077
