Temp,"HSN(Al,Al)@fcc","HSN(Re,Re)@fcc","HSN(Al,Re)@fcc"
1831,481434,145010,157204
1830,478042,146003,157513
1829,474723,147001,157824
1828,471477,148004,158139
1827,468301,149012,158456
1826,465194,150027,158775
1825,462154,151046,159098
1824,459180,152072,159423
1823,456270,153104,159751
1822,453423,154143,160082
1821,450638,155188,160415
1820,447913,156240,160752
1819,445247,157298,161091
1818,442640,158364,161432
1817,440089,159438,161777
1816,437594,160518,162124
1815,435154,161607,162474
1814,432767,162703,162827
1813,430434,163808,163182
1812,428152,164921,163540
1811,425920,166043,163901
1810,423739,167173,164265
1809,421607,168312,164631
1808,419523,169461,165001
1807,417486,170619,165372
1806,415496,171786,165747
1805,413552,172963,166124
1804,411653,174151,166504
1803,409799,175348,166887
1802,407988,176556,167273
1801,406220,177775,167661
1800,404495,179004,168052
1799,402812,180245,168445
1798,401170,181497,168842
1797,399568,182760,169241
1796,398007,184035,169642
1795,396485,185322,170047
1794,395002,186621,170453
1793,393557,187933,170863
1792,392150,189257,171275
1791,390781,190594,171690
1790,389448,191944,172107
1789,388152,193307,172527
1788,386892,194683,172950
1787,385667,196074,173375
1786,384478,197477,173802
1785,383323,198895,174232
1784,382202,200327,174665
1783,381115,201773,175100
1782,380062,203234,175537
1781,379041,204710,175977
1780,378053,206200,176420
1779,377098,207705,176864
1778,376174,209226,177311
1777,375282,210762,177761
1776,374421,212313,178212
1775,373591,213879,178666
1774,372791,215462,179122
1773,372022,217060,179581
1772,371282,218673,180041
1771,370572,220303,180504
1770,369891,221948,180968
1769,369239,223610,181435
1768,368616,225287,181904
1767,368021,226980,182374
1766,367454,228689,182847
