Temp,"HSN(Al,Al)@liq","HSN(Re,Re)@liquid","HSN(Al,Re)@liquid"
1831,333117,169387,130847
1830,332234,171123,131028
1829,331376,172874,131210
1828,330544,174641,131392
1827,329735,176424,131576
1826,328949,178224,131760
1825,328187,180041,131945
1824,327446,181874,132131
1823,326727,183725,132318
1822,326029,185594,132506
1821,325351,187481,132694
1820,324694,189385,132883
1819,324055,191309,133073
1818,323436,193251,133264
1817,322835,195213,133456
1816,322252,197194,133649
1815,321687,199195,133843
1814,321139,201216,134037
1813,320608,203257,134232
1812,320094,205320,134428
1811,319595,207404,134625
1810,319113,209509,134823
1809,318645,211636,135022
1808,318193,213786,135222
1807,317756,215958,135423
1806,317334,218154,135624
1805,316925,220373,135827
1804,316531,222616,136030
1803,316151,224882,136235
1802,315784,227174,136440
1801,315430,229490,136647
1800,315090,231832,136854
1799,314762,234199,137063
1798,314447,236593,137273
1797,314145,239013,137483
1796,313854,241460,137695
1795,313576,243934,137908
1794,313310,246436,138122
1793,313056,248966,138337
1792,312813,251525,138554
1791,312582,254112,138771
1790,312362,256728,138990
1789,312154,259374,139210
1788,311956,262049,139432
1787,311770,264755,139654
1786,311594,267492,139879
1785,311430,270259,140104
1784,311276,273058,140331
1783,311133,275888,140559
1782,311000,278750,140789
1781,310878,281644,141020
1780,310766,284571,141252
1779,310664,287530,141487
1778,310573,290521,141722
1777,310492,293546,141960
1776,310421,296604,142199
1775,310361,299695,142439
1774,310310,302820,142682
1773,310270,305978,142926
1772,310239,309170,143171
1771,310219,312395,143419
1770,310209,315653,143668
1769,310209,318945,143919
1768,310218,322271,144172
1767,310238,325629,144427
1766,310268,329020,144684
