Temp,Ni@liq,Al@liq,Re@liq,Ni@fcc,Al@fcc,Re@fcc
1741,0.899984,0.0903555,0.0096601,0.900714,0.0737621,0.0255235
1740,0.899945,0.0908397,0.0092158,0.90102,0.0745629,0.024417
1739,0.89988,0.0913437,0.00877602,0.901302,0.075384,0.0233141
1738,0.899789,0.0918704,0.00834098,0.901557,0.0762278,0.0222155
1737,0.899665,0.0924235,0.00791098,0.901781,0.0770968,0.0211221
1736,0.899506,0.0930072,0.00748637,0.90197,0.0779943,0.0200352
1735,0.899306,0.0936265,0.00706758,0.90212,0.0789242,0.018956
1734,0.899057,0.0942875,0.00665517,0.902223,0.0798911,0.0178862
1733,0.898752,0.0949978,0.00624981,0.902271,0.0809006,0.0168279
1732,0.898381,0.0957662,0.00585235,0.902257,0.0819595,0.0157836
1731,0.897932,0.0966037,0.00546384,0.902168,0.0830759,0.0147562
1730,0.897391,0.0975232,0.0050856,0.901991,0.0842596,0.0137498
1729,0.896741,0.0985402,0.00471924,0.901709,0.0855219,0.012769
1728,0.895961,0.0996728,0.00436666,0.901305,0.0868762,0.0118193
1727,0.895029,0.100941,0.00403016,0.900756,0.088337,0.0109074
1726,0.893922,0.102366,0.00371235,0.90004,0.0899195,0.0100409
