Temp,"HSN(Al,Al)@liq","HSN(Re,Re)@liquid","HSN(Al,Re)@liquid"
1741,285742,1.51349e+06,112818
1740,285180,1.58491e+06,112994
1739,284622,1.66271e+06,113180
1738,284068,1.74773e+06,113379
1737,283518,1.84094e+06,113592
1736,282972,1.94348e+06,113822
1735,282429,2.05666e+06,114072
1734,281891,2.18202e+06,114343
1733,281358,2.32133e+06,114642
1732,280831,2.47664e+06,114971
1731,280312,2.65026e+06,115337
1730,279803,2.84475e+06,115747
1729,279309,3.06279e+06,116208
1728,278834,3.30713e+06,116729
1727,278388,3.58013e+06,117321
1726,277980,3.88331e+06,117993
