Temp,,Al@fcc2,,,,,,Mo@fcc2,,,,,,,Al@fcc1,,,,Mo@fcc1
800,0.227008,0.00387766,0.00148236,5.63725E-06,,,,,,,,,,,,,,,
810,0.225919,0.00386345,0.00167042,6.84519E-06,,,,,,,,,,,,,,,
820,0.224802,0.00384893,0.0018778,8.27916E-06,,,,,,,,,,,,,,,
830,0.223655,0.00383409,0.00210615,9.9749E-06,,,,,,,,,,,,,,,
840,0.22248,0.00381891,0.00235724,1.19726E-05,,,,,,,,,,,,,,,
850,0.221277,0.00380339,0.00263298,1.43175E-05,,,,,,,,,,,,,,,
860,0.220047,0.00378751,0.00293548,1.70596E-05,,,,,,,,,,,,,,,
870,0.218791,0.00377124,0.00326704,2.02551E-05,,,,,,,,,,,,,,,
880,0.217509,0.00375456,0.00363018,2.39657E-05,,,,,,,,,,,,,,,
890,0.216203,0.00373745,0.00402769,2.82599E-05,,,,,,,,,,,,,,,
900,0.214873,0.00371988,0.00446265,3.32125E-05,,,,,,,,,,,,,,,
910,0.21352,0.00370182,0.00493851,3.89055E-05,,,,,,,,,,,,,,,
920,0.212144,0.00368325,0.00545909,4.54284E-05,,,,,,,,,,,,,,,
930,0.210747,0.00366416,0.00602869,5.28783E-05,,,,,,,,,,,,,,,
940,0.20933,0.00364451,0.00665216,6.13601E-05,,,,,,,,,,,,,,,
950,0.207893,0.00362432,0.00733499,7.09871E-05,,,,,,,,,,,,,,,
960,0.206438,0.00360358,0.00808344,8.18808E-05,,,,,,,,,,,,,,,
970,0.204965,0.00358232,0.00890462,9.41718E-05,,,,,,,,,,,,,,,
980,0.203476,0.00356059,0.00980674,0.000107999,,,,,,,,,,,,,,,
990,0.201971,0.00353847,0.0107992,0.000123513,,,,,,,,,,,,,,,
1000,0.200453,0.00351608,0.0118929,0.00014087,,,,,,,,,,,,,,,
1010,0.198923,0.00349359,0.0131005,0.000160242,,,,,,,,,,,,,,,
1020,0.197383,0.00347126,0.0144364,0.000181809,,,,,,,,,,,,,,,
1030,0.195834,0.00344941,0.0159175,0.000205766,,,,,,,,,,,,,,,
1040,0.194279,0.00342846,0.0175629,0.000232324,,,,,,,,,,,,,,,
1050,0.192721,0.00340898,0.0193939,0.000261712,,,,,,,,,,,,,,,
1060,0.191163,0.00339166,0.0214338,0.000294179,,,,,,,,,,,,,,,
1070,0.18961,0.00337732,0.0237066,0.000329999,,,,,,,,,,,,,,,
1080,0.188065,0.00336692,0.0262342,0.00036947,,,,,,,,,,,,,,,
1090,0.186535,0.00336138,0.0290326,0.000412909,,,,,,,,,,,,,,,
1100,0.185026,0.00336147,0.0321058,0.000460633,,,,,,,,,,,,,,,
1110,0.183545,0.0033675,0.0354392,0.00051292,,,,,,,,,,,,,,,
1120,0.182099,0.00337894,0.0389956,0.000569955,,,,,,,,,,,,,,,
1130,0.180696,0.00339421,0.0427164,0.000631753,,,,,,,,,,,,,,,
1140,0.179344,0.00341064,0.0465308,0.000698096,,,,,,,,,,,,,,,
1150,0.178049,0.00342472,0.0503688,0.000768485,,,,,,,,,,,,,,,
1160,0.176816,0.00343261,0.0541724,0.000842129,,,,,,,,,,,,,,,
1170,0.17565,0.00343052,0.0579008,0.000917958,,,,,,,,,,,,,,,
1180,0.174554,0.00341511,0.0615302,0.000994639,,,,,,,,,,,,,,,
1190,0.17353,0.00338361,0.0650502,0.00107062,,,,,,,,,,,,,,,
1200,0.172581,0.00333402,0.0684597,0.00114417,,,,,,,,,,,,,,,
