Temp,"HSN(Al,Al)@fcc","HSN(Mo,Mo)@fcc","HSN(Al,Mo)@fcc"
1560,337010,179373,200698
1561,336944,180065,200779
1562,336878,180764,200860
1563,336812,181468,200941
1564,336745,182178,201022
1565,336678,182894,201102
1566,336610,183617,201183
1567,336542,184345,201263
1568,336474,185080,201344
1569,336405,185822,201424
1570,336336,186569,201504
1571,336266,187324,201584
1572,336196,188085,201663
1573,336126,188853,201743
1574,336055,189628,201822
1575,335984,190410,201901
1576,335913,191199,201980
1577,335841,191995,202059
1578,335768,192798,202138
1579,335695,193609,202217
1580,335622,194428,202295
1581,335549,195254,202373
1582,335474,196088,202451
1583,335400,196930,202529
1584,335325,197780,202607
1585,335250,198638,202684
1586,335174,199505,202761
1587,335098,200380,202838
1588,335021,201263,202915
1589,334944,202155,202991
1590,334867,203056,203068
1591,334789,203966,203144
1592,334710,204885,203220
1593,334632,205813,203295
1594,334552,206751,203370
1595,334473,207698,203445
1596,334393,208655,203520
1597,334312,209622,203594
1598,334231,210598,203668
1599,334149,211585,203742
1600,334068,212582,203815
1601,333985,213590,203889
1602,333902,214608,203961
1603,333819,215638,204034
1604,333735,216678,204106
1605,333651,217729,204177
1606,333567,218792,204248
1607,333482,219866,204319
1608,333396,220952,204390
1609,333310,222050,204460
1610,333224,223160,204529
1611,333137,224283,204598
1612,333050,225418,204667
1613,332962,226565,204735
1614,332874,227726,204802
1615,332785,228900,204869
1616,332696,230087,204936
1617,332607,231287,205001
1618,332517,232502,205067
1619,332427,233730,205131
1620,332337,234973,205196
1621,332246,236230,205259
1622,332155,237502,205322
1623,332063,238789,205384
1624,331971,240092,205445
1625,331879,241409,205506
1626,331786,242743,205565
1627,331693,244092,205624
1628,331600,245458,205683
1629,331507,246840,205740
1630,331414,248239,205797
1631,331320,249655,205852
1632,331226,251088,205907
1633,331132,252539,205960
1634,331038,254008,206013
1635,330945,255495,206065
1636,330851,257001,206115
1637,330757,258525,206165
1638,330663,260068,206213
1639,330570,261631,206260
1640,330476,263214,206306
1641,330384,264817,206351
1642,330291,266440,206394
1643,330199,268084,206436
1644,330108,269749,206477
1645,330017,271435,206516
1646,329927,273143,206553
1647,329839,274874,206589
1648,329751,276626,206623
1649,329664,278402,206656
1650,329579,280200,206687
1651,329495,282022,206716
1652,329413,283868,206743
1653,329333,285738,206769
1654,329255,287632,206792
1655,329180,289552,206813
