T,X_AL_HCP_A3_,X_AL_FCC_A1_
350,6.74090660e-04,9.86906043e-01
360,8.56088317e-04,9.84845903e-01
370,0.00107346,0.98256734
380,0.00133035,0.98005509
390,0.00163103,0.97729224
400,0.00197987,0.97425988
410,0.00238132,0.97093656
420,0.00283985,0.96729770
430,0.00335999,0.96331477
440,0.00394624,0.95895420
450,0.00460310,0.95417599
460,0.00533502,0.94893172
470,0.00614633,0.94316180
480,0.00704127,0.93679138
490,0.00802390,0.92972433
500,0.00909801,0.92183358
510,0.01026709,0.91294525
520,0.01153416,0.90281036
530,0.01290156,0.89105011
540,0.01437068,0.87703594
550,0.01594125,0.85957397
