Temp,"HSN(Al,Al)@fcc1","HSN(Mo,Mo)fcc1","HSN(Al,Mo)fcc1"
800,4.19347e+06,5.83425e+08,27707.9
810,3.73853e+06,5.84756e+08,26339
820,3.33866e+06,5.84975e+08,25068.1
830,2.98610e+06,5.83954e+08,23893.6
840,2.67434e+06,5.81567e+08,22814.5
850,2.39789e+06,5.77701e+08,21829.4
860,2.15211e+06,5.72252e+08,20937.7
870,1.93304e+06,5.65142e+08,20138.7
880,1.73733e+06,5.56319e+08,19432.2
890,1.56209e+06,5.45767e+08,18818.3
900,1.40486e+06,5.33507e+08,18297.4
910,1.26349e+06,5.19604e+08,17870.5
920,1.13616e+06,5.04164e+08,17538.9
930,1.02129e+06,4.87333e+08,17304.6
940,917489,4.69295e+08,17170.2
950,823572,4.50258e+08,17138.9
960,738500,4.30454e+08,17215
970,661371,4.1012e+08,17403.4
980,591401,1.3272e+08,17710.7
990,527911,9.2661e+07,18144
1000,470312,7.37224e+07,18711.7
1010,418098,6.14177e+07,19424.4
1020,370837,5.24256e+07,20295
1030,328170,4.54352e+07,21338.2
1040,289800,3.97915e+07,22571.5
1050,255493,3.5118e+07,24014.8
1060,225077,3.11772e+07,25690
1070,198436,2.7809e+07,27619.9
1080,175503,2.49e+07,29826
1090,156243,2.2367e+07,32324.1
1100,140627,2.0148e+07,35118.4
1110,128587,1.81962e+07,38194.9
1120,119970,1.64765e+07,41516
1130,114501,1.49622e+07,45021.8
1140,111790,1.36327e+07,48638.4
1150,111373,1.24706e+07,52291.2
1160,112775,1.14609e+07,55916.4
1170,115565,1.05895e+07,59468
1180,119382,9.84345e+06,62917.7
1190,123944,9.21082e+06,66252.3
1200,129037,8.6809e+06,69469.3
