Temp, Al@fcc,     Mo@fcc,      Al@Liq,   Mo@Liq
1560,0.100007,0.099706,0.0976192,0.196282
1561,0.100016,0.0993223,0.097687,0.195393
1562,0.100025,0.0989379,0.0977553,0.1945
1563,0.100034,0.0985528,0.0978242,0.193605
1564,0.100042,0.098167,0.0978935,0.192706
1565,0.100049,0.0977804,0.0979633,0.191804
1566,0.100056,0.097393,0.0980336,0.1909
1567,0.100063,0.097005,0.0981044,0.189992
1568,0.100069,0.0966162,0.0981756,0.189081
1569,0.100075,0.0962266,0.0982472,0.188167
1570,0.10008,0.0958364,0.0983192,0.187249
1571,0.100085,0.0954454,0.0983915,0.186329
1572,0.100089,0.0950536,0.0984643,0.185406
1573,0.100092,0.0946611,0.0985373,0.184479
1574,0.100095,0.0942679,0.0986107,0.183549
1575,0.100098,0.0938739,0.0986844,0.182617
1576,0.100099,0.0934792,0.0987583,0.181681
1577,0.1001,0.0930838,0.0988325,0.180742
1578,0.1001,0.0926876,0.0989069,0.1798
1579,0.1001,0.0922907,0.0989814,0.178855
1580,0.100098,0.091893,0.0990562,0.177906
1581,0.100096,0.0914946,0.099131,0.176955
1582,0.100093,0.0910955,0.0992059,0.176001
1583,0.100089,0.0906957,0.0992809,0.175043
1584,0.100084,0.0902951,0.0993559,0.174083
1585,0.100079,0.0898938,0.0994309,0.17312
1586,0.100072,0.0894918,0.0995058,0.172153
1587,0.100064,0.0890891,0.0995807,0.171184
1588,0.100055,0.0886856,0.0996554,0.170211
1589,0.100046,0.0882814,0.09973,0.169236
1590,0.100035,0.0878765,0.0998044,0.168258
1591,0.100023,0.0874709,0.0998785,0.167277
1592,0.100009,0.0870646,0.0999523,0.166292
1593,0.0999947,0.0866576,0.100026,0.165305
1594,0.0999788,0.0862499,0.100099,0.164316
1595,0.0999616,0.0858415,0.100171,0.163323
1596,0.0999431,0.0854324,0.100243,0.162327
1597,0.099923,0.0850226,0.100315,0.161329
1598,0.0999016,0.0846122,0.100386,0.160328
1599,0.0998785,0.0842011,0.100456,0.159324
1600,0.0998539,0.0837893,0.100525,0.158318
1601,0.0998277,0.0833768,0.100594,0.157308
1602,0.0997997,0.0829637,0.100662,0.156297
1603,0.09977,0.08255,0.100729,0.155282
1604,0.0997385,0.0821356,0.100794,0.154265
1605,0.0997051,0.0817206,0.100859,0.153246
1606,0.0996697,0.081305,0.100922,0.152224
1607,0.0996324,0.0808887,0.100985,0.151199
1608,0.099593,0.0804719,0.101046,0.150172
1609,0.0995515,0.0800544,0.101105,0.149143
1610,0.0995077,0.0796364,0.101163,0.148111
1611,0.0994617,0.0792177,0.101219,0.147078
1612,0.0994133,0.0787985,0.101274,0.146042
1613,0.0993624,0.0783788,0.101327,0.145003
1614,0.0993091,0.0779585,0.101378,0.143963
1615,0.0992532,0.0775377,0.101427,0.142921
1616,0.0991946,0.0771163,0.101474,0.141876
1617,0.0991332,0.0766944,0.101519,0.14083
1618,0.0990689,0.076272,0.101561,0.139781
1619,0.0990018,0.0758492,0.101601,0.138731
1620,0.0989315,0.0754258,0.101638,0.137679
1621,0.0988582,0.075002,0.101673,0.136626
1622,0.0987816,0.0745778,0.101705,0.135571
1623,0.0987016,0.0741531,0.101734,0.134514
1624,0.0986182,0.073728,0.10176,0.133455
1625,0.0985313,0.0733025,0.101782,0.132396
1626,0.0984407,0.0728766,0.101801,0.131334
1627,0.0983463,0.0724503,0.101817,0.130272
1628,0.098248,0.0720237,0.101829,0.129208
1629,0.0981457,0.0715967,0.101837,0.128144
1630,0.0980392,0.0711694,0.101842,0.127078
1631,0.0979284,0.0707419,0.101842,0.126011
1632,0.0978133,0.070314,0.101837,0.124943
1633,0.0976935,0.0698859,0.101829,0.123875
1634,0.0975691,0.0694575,0.101815,0.122805
1635,0.0974398,0.0690289,0.101797,0.121735
1636,0.0973056,0.0686001,0.101773,0.120665
1637,0.0971662,0.0681712,0.101745,0.119594
1638,0.0970214,0.067742,0.10171,0.118523
1639,0.0968712,0.0673128,0.10167,0.117451
1640,0.0967154,0.0668834,0.101625,0.11638
1641,0.0965538,0.0664539,0.101573,0.115308
1642,0.0963861,0.0660244,0.101514,0.114236
1643,0.0962123,0.0655948,0.101449,0.113165
1644,0.0960321,0.0651653,0.101378,0.112093
1645,0.0958453,0.0647357,0.101299,0.111022
1646,0.0956517,0.0643062,0.101212,0.109952
1647,0.0954511,0.0638768,0.101118,0.108882
1648,0.0952434,0.0634475,0.101017,0.107812
1649,0.0950282,0.0630183,0.100907,0.106743
1650,0.0948053,0.0625893,0.100788,0.105676
1651,0.0945745,0.0621604,0.100661,0.104609
1652,0.0943356,0.0617318,0.100524,0.103543
1653,0.0940882,0.0613035,0.100379,0.102478
1654,0.0938322,0.0608755,0.100223,0.101415
1655,0.0935673,0.0604478,0.100057,0.100353
