Temp,Al@fcc,Mg@fcc,Zn@fcc,Al@liq,Mg@liq,Zn@liq
851,0.946228,0.0264027,0.0273694,0.797276,0.101371,0.101353
850,0.945704,0.0266672,0.0276291,0.79449,0.102773,0.102737
849,0.945184,0.0269302,0.0278861,0.791695,0.10418,0.104125
848,0.944668,0.0271917,0.0281405,0.788891,0.105591,0.105518
847,0.944156,0.0274517,0.0283923,0.786078,0.107006,0.106915
846,0.943648,0.0277102,0.0286413,0.783256,0.108426,0.108318
845,0.943145,0.0279672,0.0288877,0.780424,0.109851,0.109725
844,0.942646,0.0282226,0.0291314,0.777584,0.111279,0.111137
843,0.942151,0.0284766,0.0293723,0.774734,0.112712,0.112553
842,0.941661,0.0287289,0.0296105,0.771876,0.11415,0.113975
841,0.941174,0.0289798,0.029846,0.769008,0.115591,0.115401
840,0.940692,0.029229,0.0300788,0.766131,0.117037,0.116832
839,0.940214,0.0294768,0.0303088,0.763246,0.118486,0.118268
838,0.939741,0.0297229,0.030536,0.760352,0.119939,0.119709
837,0.939272,0.0299674,0.0307605,0.757449,0.121397,0.121154
836,0.938807,0.0302104,0.0309821,0.754537,0.122858,0.122605
835,0.938347,0.0304518,0.031201,0.751617,0.124322,0.12406
834,0.937891,0.0306915,0.0314172,0.748689,0.12579,0.12552
833,0.93744,0.0309297,0.0316305,0.745753,0.127262,0.126985
832,0.936993,0.0311662,0.0318411,0.742808,0.128737,0.128455
831,0.93655,0.0314011,0.0320488,0.739855,0.130215,0.12993
830,0.936112,0.0316343,0.0322538,0.736895,0.131696,0.131409
829,0.935678,0.0318659,0.032456,0.733926,0.13318,0.132893
828,0.935249,0.0320959,0.0326554,0.730951,0.134667,0.134382
827,0.934824,0.0323242,0.032852,0.727968,0.136157,0.135875
826,0.934403,0.0325508,0.0330459,0.724978,0.137649,0.137373
825,0.933987,0.0327758,0.0332369,0.721981,0.139144,0.138875
824,0.933576,0.032999,0.0334253,0.718977,0.140641,0.140382
823,0.933169,0.0332206,0.0336108,0.715966,0.14214,0.141894
822,0.932766,0.0334405,0.0337936,0.71295,0.143641,0.143409
821,0.932368,0.0336587,0.0339736,0.709927,0.145144,0.144929
820,0.931974,0.0338751,0.0341509,0.706899,0.146648,0.146453
819,0.931585,0.0340899,0.0343255,0.703865,0.148154,0.147981
818,0.9312,0.0343029,0.0344973,0.700826,0.149661,0.149514
