Temp,Al@fcc,Zn@fcc,Al@liq,Zn@liq
864,0.918753,0.0812469,0.796789,0.203211
863,0.917463,0.0825367,0.793395,0.206605
862,0.91617,0.0838299,0.789984,0.210016
861,0.914873,0.0851266,0.786558,0.213442
860,0.913573,0.0864268,0.783116,0.216884
859,0.91227,0.0877303,0.779658,0.220342
858,0.910963,0.0890374,0.776184,0.223816
857,0.909652,0.0903478,0.772694,0.227306
856,0.908338,0.0916617,0.769189,0.230811
855,0.907021,0.0929791,0.765667,0.234333
854,0.9057,0.0942999,0.762129,0.237871
853,0.904376,0.0956242,0.758575,0.241425
852,0.903048,0.096952,0.755005,0.244995
851,0.901717,0.0982832,0.751419,0.248581
850,0.900382,0.0996179,0.747816,0.252184
849,0.899044,0.100956,0.744197,0.255803
848,0.897702,0.102298,0.740563,0.259437
847,0.896357,0.103643,0.736911,0.263089
846,0.895008,0.104992,0.733244,0.266756
845,0.893656,0.106344,0.72956,0.27044
844,0.892301,0.107699,0.72586,0.27414
843,0.890941,0.109059,0.722144,0.277856
842,0.889579,0.110421,0.718412,0.281588
841,0.888212,0.111788,0.714664,0.285336
840,0.886842,0.113158,0.710899,0.289101
839,0.885469,0.114531,0.707119,0.292881
838,0.884092,0.115908,0.703323,0.296677
837,0.882711,0.117289,0.69951,0.30049
836,0.881327,0.118673,0.695683,0.304317
835,0.879938,0.120062,0.691839,0.308161
834,0.878547,0.121453,0.68798,0.31202
833,0.877151,0.122849,0.684106,0.315894
832,0.875752,0.124248,0.680217,0.319783
831,0.874349,0.125651,0.676312,0.323688
830,0.872942,0.127058,0.672393,0.327607
829,0.871531,0.128469,0.668459,0.331541
828,0.870116,0.129884,0.664511,0.335489
827,0.868698,0.131302,0.660548,0.339452
826,0.867275,0.132725,0.656572,0.343428
825,0.865848,0.134152,0.652582,0.347418
824,0.864417,0.135583,0.648578,0.351422
823,0.862982,0.137018,0.644561,0.355439
822,0.861543,0.138457,0.640532,0.359468
821,0.8601,0.1399,0.63649,0.36351
820,0.858652,0.141348,0.632436,0.367564
819,0.8572,0.1428,0.62837,0.37163
818,0.855743,0.144257,0.624293,0.375707
817,0.854282,0.145718,0.620205,0.379795
816,0.852816,0.147184,0.616106,0.383894
815,0.851345,0.148655,0.611998,0.388002
814,0.84987,0.15013,0.60788,0.39212
813,0.848389,0.151611,0.603753,0.396247
812,0.846904,0.153096,0.599617,0.400383
811,0.845413,0.154587,0.595473,0.404527
810,0.843917,0.156083,0.591322,0.408678
809,0.842416,0.157584,0.587164,0.412836
808,0.840909,0.159091,0.583,0.417
807,0.839397,0.160603,0.57883,0.42117
806,0.837878,0.162122,0.574655,0.425345
805,0.836354,0.163646,0.570476,0.429524
804,0.834823,0.165177,0.566293,0.433707
803,0.833286,0.166714,0.562107,0.437893
802,0.831743,0.168257,0.557919,0.442081
801,0.830192,0.169808,0.55373,0.44627
800,0.828635,0.171365,0.549539,0.450461
799,0.827071,0.172929,0.545348,0.454652
798,0.825499,0.174501,0.541158,0.458842
797,0.82392,0.17608,0.53697,0.46303
796,0.822333,0.177667,0.532783,0.467217
795,0.820738,0.179262,0.5286,0.4714
794,0.819134,0.180866,0.52442,0.47558
793,0.817521,0.182479,0.520245,0.479755
792,0.8159,0.1841,0.516076,0.483924
791,0.814269,0.185731,0.511912,0.488088
790,0.812628,0.187372,0.507756,0.492244
789,0.810978,0.189022,0.503607,0.496393
788,0.809317,0.190683,0.499467,0.500533
787,0.807645,0.192355,0.495337,0.504663
786,0.805962,0.194038,0.491217,0.508783
785,0.804267,0.195733,0.487107,0.512893
784,0.80256,0.19744,0.48301,0.51699
783,0.80084,0.19916,0.478925,0.521075
