T	P	log10(P)	fl	fs	phase_name	Q	H_Latent	H_tot	f_tot(@Liquid)	x(Al)	x(Mo)	x(Ni)	f(@Liquid)	G	w(Al)	w(Mo)	w(Ni)	Label	Cp	H_Latent_1	
K	bar	SI	mole/mole	mole/mole		J/mole	J/mole	J/mole		mole/mole	mole/mole	mole/mole	mole/mole	J/mole	kg/kg	kg/kg	kg/kg		J/(mole K)		
1669.23	1	5	1	0	Liquid+Fcc	0	0	35582.28068	1	0.17	0.03	0.8	1	-121715.3211	0.0842885	0.0528891	0.862822	Fcc	39.75525666	0	
1669.223986	1	5	0.99958568	0.0004143200457	Liquid+Fcc	-7.48727000000508	-7.089732688	35574.79341	0.99958568	0.17	0.03	0.8	0.99958568	-121714.3786	0.08428847432	0.05288909094	0.8628224347	Fcc	39.75391172	-7.089732688	
1669.203986	1	5	0.9987571598	0.001242840218	Liquid+Fcc	-22.4593700000041	-21.26680617	35559.82131	0.9987571598	0.17	0.03	0.8	0.9991711364	-121713.3426	0.08428847432	0.05288909094	0.8628224347	Fcc	39.75221705	-21.26680617	
1669.163986	1	5	0.9971037101	0.002896289853	Liquid+Fcc	-52.3408900000068	-49.55850372	35529.93979	0.9971037101	0.17	0.03	0.8	0.9983444928	-121711.283	0.08428847432	0.05288909094	0.8628224347	Fcc	39.74888829	-49.55850372	
1669.083986	1	5	0.9938080077	0.006191992318	Liquid+Fcc	-111.904410000003	-105.9432406	35470.37627	0.9938080077	0.17	0.03	0.8	0.9966947245	-121707.1605	0.08428847432	0.05288909094	0.8628224347	Fcc	39.74225295	-105.9432406	
1668.923986	1	5	0.9872630542	0.01273694581	Liquid+Fcc	-230.192630000005	-217.8773559	35352.08805	0.9872630542	0.17	0.03	0.8	0.9934142677	-121698.9771	0.08428847432	0.05288909094	0.8628224347	Fcc	39.72899758	-217.8773559	
1668.603986	1	5	0.9743479685	0.02565203153	Liquid+Fcc	-463.637330000005	-438.6275462	35118.64335	0.9743479685	0.17	0.03	0.8	0.9869182933	-121682.4979	0.08428847432	0.05288909094	0.8628224347	Fcc	39.7027245	-438.6275462	
1667.963986	1	5	0.9492020191	0.05079798092	Liquid+Fcc	-918.281360000001	-867.935824	34663.99932	0.9492020191	0.17	0.03	0.8	0.9741920236	-121649.3848	0.08428847432	0.05288909094	0.8628224347	Fcc	39.65110156	-867.935824	
1666.683986	1	5	0.9015122184	0.09848778155	Liquid+Fcc	-1781.07258	-1680.257542	33801.2081	0.9015122184	0.17	0.03	0.8	0.9497580076	-121582.5388	0.08428847432	0.05288909094	0.8628224347	Fcc	39.55158236	-1680.257542	
1664.123986	1	5	0.8155574034	0.1844425966	Liquid+Fcc	-3338.75945000001	-3137.734131	32243.52123	0.8155574034	0.17	0.03	0.8	0.904654853	-121446.3827	0.08428847432	0.05288909094	0.8628224347	Fcc	39.36590034	-3137.734131	
1661.563986	1	5	0.7419653663	0.2580346337	Liquid+Fcc	-4680.09872	-4379.490593	30902.18196	0.7419653663	0.17	0.03	0.8	0.9097647366	-121401.7513	0.08428847432	0.05288909094	0.8628224347	Fcc	39.30864215	-4379.490593	
1659.003986	1	5	0.678463015	0.321536985	Liquid+Fcc	-5845.50649	-5445.860814	29736.77419	0.678463015	0.17	0.03	0.8	0.9144133213	-121345.021	0.08428847432	0.05288909094	0.8628224347	Fcc	39.25092613	-5445.860814	
1656.443986	1	5	0.6232749083	0.3767250917	Liquid+Fcc	-6866.47248	-6368.267099	28715.8082	0.6232749083	0.17	0.03	0.8	0.9186571627	-121277.0631	0.08428847432	0.05288909094	0.8628224347	Fcc	39.19288927	-6368.267099	
1653.883986	1	5	0.5749986276	0.4250013724	Liquid+Fcc	-7767.79122	-7171.448211	27814.48946	0.5749986276	0.17	0.03	0.8	0.9225441614	-121198.6571	0.08428847432	0.05288909094	0.8628224347	Fcc	39.13464947	-7171.448211	
1651.323986	1	5	0.5325149333	0.4674850667	Liquid+Fcc	-8569.1894	-7875.08444	27013.09128	0.5325149333	0.17	0.03	0.8	0.9261151379	-121110.5026	0.08428847432	0.05288909094	0.8628224347	Fcc	39.07625336	-7875.08444	
1648.763986	1	5	0.4949220822	0.5050779178	Liquid+Fcc	-9286.51187	-8494.981494	26295.76881	0.4949220822	0.17	0.03	0.8	0.9294050763	-121013.2302	0.08428847432	0.05288909094	0.8628224347	Fcc	39.01784974	-8494.981494	
1646.203986	1	5	0.4614871839	0.5385128161	Liquid+Fcc	-9932.5978	-9043.94556	25649.68288	0.4614871839	0.17	0.03	0.8	0.9324441169	-120907.4097	0.08428847432	0.05288909094	0.8628224347	Fcc	38.95942987	-9043.94556	
1643.643986	1	5	0.4316097446	0.5683902554	Liquid+Fcc	-10517.93576	-9532.437039	25064.34492	0.4316097446	0.17	0.03	0.8	0.9352583552	-120793.5582	0.08428847432	0.05288909094	0.8628224347	Fcc	38.90109412	-9532.437039	
1641.083986	1	5	0.404794042	0.595205958	Liquid+Fcc	-11051.15908	-9969.065142	24531.1216	0.404794042	0.17	0.03	0.8	0.9378704884	-120672.1458	0.08428847432	0.05288909094	0.8628224347	Fcc	38.84286377	-9969.065142	
1638.523986	1	5	0.3806279768	0.6193720232	Liquid+Fcc	-11539.424	-10360.96535	24042.85668	0.3806279768	0.17	0.03	0.8	0.9403003437	-120543.6012	0.08428847432	0.05288909094	0.8628224347	Fcc	38.78478054	-10360.96535	
1635.963986	1	5	0.3587667274	0.6412332726	Liquid+Fcc	-11988.70147	-10714.09065	23593.57921	0.3587667274	0.17	0.03	0.8	0.9425653111	-120408.3164	0.08428847432	0.05288909094	0.8628224347	Fcc	38.7268611	-10714.09065	
1633.403986	1	5	0.3389200038	0.6610799962	Liquid+Fcc	-12404.00407	-11033.43796	23178.27661	0.3389200038	0.17	0.03	0.8	0.9446807019	-120266.6508	0.08428847432	0.05288909094	0.8628224347	Fcc	38.6691454	-11033.43796	
1630.843986	1	5	0.3208420261	0.6791579739	Liquid+Fcc	-12789.56411	-11323.22582	22792.71657	0.3208420261	0.17	0.03	0.8	0.9466600453	-120118.9342	0.08428847432	0.05288909094	0.8628224347	Fcc	38.61167654	-11323.22582	
