Temp,"HSN(Al,Al)@liq","HSN(Mo,Mo)@liquid","HSN(Al,Mo)@liquid"
1560,297014,108791,110676
1561,296857,109073,110802
1562,296700,109359,110928
1563,296543,109649,111055
1564,296385,109943,111183
1565,296228,110242,111312
1566,296070,110545,111442
1567,295912,110852,111573
1568,295755,111164,111704
1569,295597,111480,111836
1570,295439,111802,111969
1571,295282,112128,112103
1572,295124,112459,112237
1573,294966,112795,112373
1574,294809,113136,112509
1575,294651,113482,112646
1576,294493,113833,112784
1577,294336,114190,112922
1578,294178,114553,113061
1579,294021,114921,113201
1580,293864,115295,113342
1581,293707,115674,113484
1582,293550,116060,113626
1583,293393,116452,113769
1584,293237,116850,113913
1585,293080,117254,114058
1586,292924,117665,114203
1587,292768,118083,114349
1588,292612,118507,114496
1589,292457,118939,114644
1590,292301,119377,114792
1591,292146,119823,114941
1592,291992,120276,115091
1593,291837,120736,115241
1594,291683,121204,115392
1595,291530,121680,115543
1596,291376,122164,115696
1597,291223,122657,115848
1598,291071,123157,116002
1599,290919,123666,116156
1600,290767,124184,116311
1601,290616,124711,116466
1602,290465,125247,116622
1603,290315,125793,116778
1604,290165,126347,116935
1605,290016,126912,117092
1606,289867,127487,117250
1607,289719,128072,117408
1608,289571,128667,117567
1609,289424,129273,117726
1610,289278,129890,117886
1611,289132,130518,118046
1612,288987,131157,118207
1613,288843,131808,118367
1614,288700,132471,118529
1615,288557,133146,118690
1616,288415,133834,118852
1617,288273,134534,119014
1618,288133,135247,119176
1619,287993,135974,119339
1620,287854,136714,119502
1621,287716,137469,119664
1622,287579,138238,119827
1623,287443,139021,119991
1624,287307,139819,120154
1625,287173,140633,120317
1626,287040,141462,120480
1627,286907,142307,120644
1628,286776,143169,120807
1629,286646,144048,120970
1630,286517,144943,121133
1631,286389,145857,121296
1632,286262,146788,121459
1633,286137,147738,121621
1634,286013,148707,121784
1635,285890,149695,121946
1636,285769,150703,122107
1637,285649,151732,122269
1638,285530,152781,122430
1639,285413,153851,122590
1640,285298,154944,122750
1641,285184,156058,122910
1642,285072,157196,123068
1643,284962,158357,123227
1644,284853,159542,123384
1645,284747,160752,123541
1646,284642,161987,123697
1647,284540,163248,123852
1648,284440,164535,124007
1649,284342,165850,124160
1650,284247,167192,124313
1651,284155,168563,124464
1652,284065,169964,124615
1653,283978,171394,124764
1654,283894,172855,124912
1655,283814,174347,125058
