T	phase_name	x(Al)	x(Mo)	x(Ni)	w(Al)	w(Mo)	w(Ni)	G	H	Cp	
K		mole/mole	mole/mole	mole/mole	kg/kg	kg/kg	kg/kg	J/mole		J/(mole K)	
1655	Liquid+Fcc	0.1	0.1	0.8	0.0455419	0.161933	0.792525	-112209.0971	44401.13714	39.5212626	
1654	Liquid+Fcc	0.1	0.1	0.8	0.04554185388	0.161933343	0.7925248031	-112114.6048	43956.75219	39.43160325	
1653	Liquid+Fcc	0.1	0.1	0.8	0.04554185388	0.161933343	0.7925248031	-112020.3746	43525.66161	39.34465908	
1652	Liquid+Fcc	0.1	0.1	0.8	0.04554185388	0.161933343	0.7925248031	-111926.4025	43107.39245	39.26039695	
1651	Liquid+Fcc	0.1	0.1	0.8	0.04554185388	0.161933343	0.7925248031	-111832.6799	42701.40632	39.17869708	
1650	Liquid+Fcc	0.1	0.1	0.8	0.04554185388	0.161933343	0.7925248031	-111739.1996	42307.21343	39.09944605	
1649	Liquid+Fcc	0.1	0.1	0.8	0.04554185388	0.161933343	0.7925248031	-111645.9548	41924.34781	39.02257346	
1648	Liquid+Fcc	0.1	0.1	0.8	0.04554185388	0.161933343	0.7925248031	-111552.9388	41552.36586	38.94794481	
1647	Liquid+Fcc	0.1	0.1	0.8	0.04554185388	0.161933343	0.7925248031	-111460.1453	41190.84513	38.87545098	
1646	Liquid+Fcc	0.1	0.1	0.8	0.04554185388	0.161933343	0.7925248031	-111367.5682	40839.38302	38.8050386	
1645	Liquid+Fcc	0.1	0.1	0.8	0.04554185388	0.161933343	0.7925248031	-111275.2018	40497.5957	38.73662997	
1644	Liquid+Fcc	0.1	0.1	0.8	0.04554185388	0.161933343	0.7925248031	-111183.0402	40165.11709	38.67013406	
1643	Liquid+Fcc	0.1	0.1	0.8	0.04554185388	0.161933343	0.7925248031	-111091.0781	39841.59776	38.60550141	
1642	Liquid+Fcc	0.1	0.1	0.8	0.04554185388	0.161933343	0.7925248031	-110999.3103	39526.70415	38.54259544	
1641	Liquid+Fcc	0.1	0.1	0.8	0.04554185388	0.161933343	0.7925248031	-110907.7318	39220.11762	38.48143457	
1640	Liquid+Fcc	0.1	0.1	0.8	0.04554185388	0.161933343	0.7925248031	-110816.3376	38921.53369	38.42188995	
1639	Liquid+Fcc	0.1	0.1	0.8	0.04554185388	0.161933343	0.7925248031	-110725.1231	38630.66127	38.36390152	
1638	Liquid+Fcc	0.1	0.1	0.8	0.04554185388	0.161933343	0.7925248031	-110634.0838	38347.22194	38.30746926	
1637	Liquid+Fcc	0.1	0.1	0.8	0.04554185388	0.161933343	0.7925248031	-110543.2153	38070.94936	38.25249226	
1636	Liquid+Fcc	0.1	0.1	0.8	0.04554185388	0.161933343	0.7925248031	-110452.5135	37801.58855	38.19891504	
1635	Liquid+Fcc	0.1	0.1	0.8	0.04554185388	0.161933343	0.7925248031	-110361.9742	37538.89538	38.14669424	
1634	Liquid+Fcc	0.1	0.1	0.8	0.04554185388	0.161933343	0.7925248031	-110271.5937	37282.63602	38.09577199	
1633	Liquid+Fcc	0.1	0.1	0.8	0.04554185388	0.161933343	0.7925248031	-110181.3681	37032.58639	38.04609768	
1632	Liquid+Fcc	0.1	0.1	0.8	0.04554185388	0.161933343	0.7925248031	-110091.2937	36788.53167	37.99765223	
1631	Liquid+Fcc	0.1	0.1	0.8	0.04554185388	0.161933343	0.7925248031	-110001.3671	36550.26592	37.95041891	
1630	Liquid+Fcc	0.1	0.1	0.8	0.04554185388	0.161933343	0.7925248031	-109911.5849	36317.59158	37.90424543	
1629	Liquid+Fcc	0.1	0.1	0.8	0.04554185388	0.161933343	0.7925248031	-109821.9438	36090.31908	37.85920065	
1628	Liquid+Fcc	0.1	0.1	0.8	0.04554185388	0.161933343	0.7925248031	-109732.4405	35868.26649	37.81522492	
1627	Liquid+Fcc	0.1	0.1	0.8	0.04554185388	0.161933343	0.7925248031	-109643.0721	35651.25909	37.77223157	
1626	Liquid+Fcc	0.1	0.1	0.8	0.04554185388	0.161933343	0.7925248031	-109553.8356	35439.1291	37.73026465	
1625	Liquid+Fcc	0.1	0.1	0.8	0.04554185388	0.161933343	0.7925248031	-109464.728	35231.71536	37.68920273	
1624	Liquid+Fcc	0.1	0.1	0.8	0.04554185388	0.161933343	0.7925248031	-109375.7467	35028.86295	37.64907693	
1623	Liquid+Fcc	0.1	0.1	0.8	0.04554185388	0.161933343	0.7925248031	-109286.889	34830.42301	37.60982721	
1622	Liquid+Fcc	0.1	0.1	0.8	0.04554185388	0.161933343	0.7925248031	-109198.1522	34636.25236	37.57142546	
1621	Liquid+Fcc	0.1	0.1	0.8	0.04554185388	0.161933343	0.7925248031	-109109.5338	34446.21332	37.53387041	
1620	Liquid+Fcc	0.1	0.1	0.8	0.04554185388	0.161933343	0.7925248031	-109021.0314	34260.17344	37.49710462	
1619	Liquid+Fcc	0.1	0.1	0.8	0.04554185388	0.161933343	0.7925248031	-108932.6426	34078.00526	37.46112994	
1618	Liquid+Fcc	0.1	0.1	0.8	0.04554185388	0.161933343	0.7925248031	-108844.3652	33899.5861	37.42590478	
1617	Liquid+Fcc	0.1	0.1	0.8	0.04554185388	0.161933343	0.7925248031	-108756.197	33724.79787	37.39135929	
1616	Liquid+Fcc	0.1	0.1	0.8	0.04554185388	0.161933343	0.7925248031	-108668.1357	33553.52681	37.35759145	
1615	Liquid+Fcc	0.1	0.1	0.8	0.04554185388	0.161933343	0.7925248031	-108580.1794	33385.6634	37.32444422	
1614	Liquid+Fcc	0.1	0.1	0.8	0.04554185388	0.161933343	0.7925248031	-108492.326	33221.10209	37.29199976	
1613	Liquid+Fcc	0.1	0.1	0.8	0.04554185388	0.161933343	0.7925248031	-108404.5735	33059.74117	37.26013273	
1612	Liquid+Fcc	0.1	0.1	0.8	0.04554185388	0.161933343	0.7925248031	-108316.9201	32901.48264	37.22892791	
1611	Liquid+Fcc	0.1	0.1	0.8	0.04554185388	0.161933343	0.7925248031	-108229.364	32746.23198	37.19831493	
1610	Liquid+Fcc	0.1	0.1	0.8	0.04554185388	0.161933343	0.7925248031	-108141.9033	32593.89807	37.16824666	
1609	Liquid+Fcc	0.1	0.1	0.8	0.04554185388	0.161933343	0.7925248031	-108054.5363	32444.39303	37.13879405	
1608	Liquid+Fcc	0.1	0.1	0.8	0.04554185388	0.161933343	0.7925248031	-107967.2614	32297.63207	37.10987899	
1607	Liquid+Fcc	0.1	0.1	0.8	0.04554185388	0.161933343	0.7925248031	-107880.077	32153.53342	37.0814575	
1606	Liquid+Fcc	0.1	0.1	0.8	0.04554185388	0.161933343	0.7925248031	-107792.9814	32012.0181	37.05355764	
1605	Liquid+Fcc	0.1	0.1	0.8	0.04554185388	0.161933343	0.7925248031	-107705.9731	31873.00994	37.02618198	
1604	Liquid+Fcc	0.1	0.1	0.8	0.04554185388	0.161933343	0.7925248031	-107619.0507	31736.43538	36.99925205	
1603	Liquid+Fcc	0.1	0.1	0.8	0.04554185388	0.161933343	0.7925248031	-107532.2127	31602.22337	36.9727965	
1602	Liquid+Fcc	0.1	0.1	0.8	0.04554185388	0.161933343	0.7925248031	-107445.4577	31470.30534	36.94681992	
1601	Liquid+Fcc	0.1	0.1	0.8	0.04554185388	0.161933343	0.7925248031	-107358.7843	31340.615	36.92126483	
1600	Liquid+Fcc	0.1	0.1	0.8	0.04554185388	0.161933343	0.7925248031	-107272.1913	31213.08835	36.89613523	
1599	Liquid+Fcc	0.1	0.1	0.8	0.04554185388	0.161933343	0.7925248031	-107185.6773	31087.66353	36.87144114	
1598	Liquid+Fcc	0.1	0.1	0.8	0.04554185388	0.161933343	0.7925248031	-107099.2411	30964.28073	36.84712906	
1597	Liquid+Fcc	0.1	0.1	0.8	0.04554185388	0.161933343	0.7925248031	-107012.8815	30842.88219	36.823205	
1596	Liquid+Fcc	0.1	0.1	0.8	0.04554185388	0.161933343	0.7925248031	-106926.5973	30723.41201	36.79967045	
1595	Liquid+Fcc	0.1	0.1	0.8	0.04554185388	0.161933343	0.7925248031	-106840.3874	30605.81618	36.77653222	
1594	Liquid+Fcc	0.1	0.1	0.8	0.04554185388	0.161933343	0.7925248031	-106754.2506	30490.04244	36.75372422	
1593	Liquid+Fcc	0.1	0.1	0.8	0.04554185388	0.161933343	0.7925248031	-106668.1859	30376.04026	36.73126406	
1592	Liquid+Fcc	0.1	0.1	0.8	0.04554185388	0.161933343	0.7925248031	-106582.1922	30263.76073	36.70911743	
1591	Liquid+Fcc	0.1	0.1	0.8	0.04554185388	0.161933343	0.7925248031	-106496.2686	30153.15656	36.68734927	
1590	Liquid+Fcc	0.1	0.1	0.8	0.04554185388	0.161933343	0.7925248031	-106410.4139	30044.18195	36.66589028	
1589	Liquid+Fcc	0.1	0.1	0.8	0.04554185388	0.161933343	0.7925248031	-106324.6273	29936.7926	36.64472529	
1588	Liquid+Fcc	0.1	0.1	0.8	0.04554185388	0.161933343	0.7925248031	-106238.9077	29830.9456	36.62390935	
1587	Liquid+Fcc	0.1	0.1	0.8	0.04554185388	0.161933343	0.7925248031	-106153.2543	29726.59941	36.6033528	
1586	Liquid+Fcc	0.1	0.1	0.8	0.04554185388	0.161933343	0.7925248031	-106067.6663	29623.71382	36.58304532	
1585	Liquid+Fcc	0.1	0.1	0.8	0.04554185388	0.161933343	0.7925248031	-105982.1426	29522.2499	36.56307605	
1584	Liquid+Fcc	0.1	0.1	0.8	0.04554185388	0.161933343	0.7925248031	-105896.6825	29422.16988	36.54336836	
1583	Liquid+Fcc	0.1	0.1	0.8	0.04554185388	0.161933343	0.7925248031	-105811.2852	29323.43725	36.5238992	
1582	Liquid+Fcc	0.1	0.1	0.8	0.04554185388	0.161933343	0.7925248031	-105725.9499	29226.01657	36.50470279	
1581	Liquid+Fcc	0.1	0.1	0.8	0.04554185388	0.161933343	0.7925248031	-105640.6757	29129.87353	36.48576889	
1580	Liquid+Fcc	0.1	0.1	0.8	0.04554185388	0.161933343	0.7925248031	-105555.4619	29034.97486	36.46707224	
1579	Liquid+Fcc	0.1	0.1	0.8	0.04554185388	0.161933343	0.7925248031	-105470.3078	28941.28833	36.44860118	
1578	Liquid+Fcc	0.1	0.1	0.8	0.04554185388	0.161933343	0.7925248031	-105385.2126	28848.78268	36.43038246	
1577	Liquid+Fcc	0.1	0.1	0.8	0.04554185388	0.161933343	0.7925248031	-105300.1758	28757.4276	36.41237272	
1576	Liquid+Fcc	0.1	0.1	0.8	0.04554185388	0.161933343	0.7925248031	-105215.1964	28667.1937	36.39459621	
1575	Liquid+Fcc	0.1	0.1	0.8	0.04554185388	0.161933343	0.7925248031	-105130.274	28578.05247	36.3770379	
1574	Liquid+Fcc	0.1	0.1	0.8	0.04554185388	0.161933343	0.7925248031	-105045.4079	28489.97627	36.35967642	
1573	Liquid+Fcc	0.1	0.1	0.8	0.04554185388	0.161933343	0.7925248031	-104960.5974	28402.93827	36.34252717	
1572	Liquid+Fcc	0.1	0.1	0.8	0.04554185388	0.161933343	0.7925248031	-104875.8419	28316.91243	36.32557998	
1571	Liquid+Fcc	0.1	0.1	0.8	0.04554185388	0.161933343	0.7925248031	-104791.1408	28231.87352	36.30884278	
1570	Liquid+Fcc	0.1	0.1	0.8	0.04554185388	0.161933343	0.7925248031	-104706.4935	28147.79701	36.29222607	
1569	Liquid+Fcc	0.1	0.1	0.8	0.04554185388	0.161933343	0.7925248031	-104621.8994	28064.65911	36.27585578	
1568	Liquid+Fcc	0.1	0.1	0.8	0.04554185388	0.161933343	0.7925248031	-104537.3581	27982.43671	36.25962757	
1567	Liquid+Fcc	0.1	0.1	0.8	0.04554185388	0.161933343	0.7925248031	-104452.8689	27901.1074	36.24361696	
1566	Liquid+Fcc	0.1	0.1	0.8	0.04554185388	0.161933343	0.7925248031	-104368.4314	27820.64939	36.22776609	
1565	Liquid+Fcc	0.1	0.1	0.8	0.04554185388	0.161933343	0.7925248031	-104284.0449	27741.04152	36.2120797	
1564	Liquid+Fcc	0.1	0.1	0.8	0.04554185388	0.161933343	0.7925248031	-104199.7091	27662.26327	36.19653725	
1563	Liquid+Fcc	0.1	0.1	0.8	0.04554185388	0.161933343	0.7925248031	-104115.4233	27584.29467	36.18115212	
1562	Liquid+Fcc	0.1	0.1	0.8	0.04554185388	0.161933343	0.7925248031	-104031.1872	27507.11633	36.16592021	
1561	Liquid+Fcc	0.1	0.1	0.8	0.04554185388	0.161933343	0.7925248031	-103947.0003	27430.70941	36.15086869	
1560	Liquid+Fcc	0.1	0.1	0.8	0.04554185388	0.161933343	0.7925248031	-103862.862	27355.05559	36.13595625	
